PM2.5,PM10,So2,No2,Co,O3
74,137,24,39,1.44,19
95,148,23,32,1.46,47
90,99,13,26,1.39,57
25,33,11,16,0.74,52
39,42,12,14,0.78,57
13,19,6,16,0.70,61
32,38,13,23,0.86,37
35,52,11,20,0.86,55
40,69,21,34,0.94,35
54,85,24,39,1.04,33
54,83,20,39,0.91,36
62,92,31,42,1.01,36
75,106,26,44,1.10,37
95,129,24,46,1.35,31
115,154,28,54,1.55,13
118,160,23,47,1.66,31
82,129,26,47,1.46,34
104,172,38,50,1.74,29
90,147,30,46,1.46,37
70,122,25,46,1.31,34
68,113,28,47,1.33,36
69,108,27,52,1.26,32
73,94,17,37,1.20,37
35,34,11,24,1.24,46
53,45,11,16,0.96,73
49,55,11,14,0.79,73
50,50,11,15,0.81,89
70,83,14,27,1.10,60
84,100,13,30,1.29,58
59,82,19,28,1.11,60
26,60,8,21,0.73,77
49,78,21,39,0.92,32
53,98,16,33,0.96,41
28,61,15,21,0.71,62
35,59,19,27,0.80,53
47,74,11,28,0.89,59
63,90,11,34,1.10,60
84,115,18,39,1.31,48
71,107,15,38,1.22,44
108,147,20,48,1.70,31
49,205,5,13,0.66,82
62,194,8,19,0.88,61
55,116,15,20,1.06,62
54,92,16,20,1.22,61
65,85,16,23,1.39,47
97,134,20,19,1.35,69
191,255,30,20,1.44,77
128,143,6,16,1.16,90
104,125,12,17,1.30,36
48,62,9,12,0.92,54
39,50,8,10,0.85,50
34,40,5,10,0.77,68
25,41,7,13,0.68,54
26,46,13,17,0.77,55
32,57,21,18,0.79,63
48,79,15,20,0.82,72
41,73,23,23,0.85,60
57,72,14,28,0.98,36
41,63,9,18,0.94,58
28,46,12,18,0.95,48
17,31,17,16,1.08,71
37,58,12,24,1.34,58
36,55,10,26,1.02,39
15,29,14,16,0.81,48
13,23,9,9,0.76,87
16,20,10,11,0.70,66
29,49,15,18,0.86,38
48,80,13,22,1.00,70
36,82,14,26,0.97,59
40,74,16,25,0.90,77
46,84,17,30,1.06,77
50,83,17,30,1.08,75
46,85,18,31,1.16,70
48,82,19,25,0.99,87
36,71,8,11,0.61,98
42,51,9,18,0.78,64
32,43,13,24,0.93,27
22,39,19,21,0.95,29
22,37,12,16,0.81,75
30,65,18,24,0.88,64
41,108,24,27,0.94,67
37,93,15,22,0.69,88
44,80,15,29,0.79,60
50,90,14,23,0.75,94
42,84,17,28,0.77,65
35,70,17,24,0.75,70
34,75,19,27,0.75,80
36,71,17,18,0.62,92
48,92,14,16,0.66,116
46,94,14,20,0.66,103
20,47,10,14,0.41,77
31,84,14,19,0.53,75
33,83,12,19,0.58,88
31,69,9,14,0.60,77
10,27,10,13,0.64,54
10,27,10,13,0.64,54
30,114,9,12,0.52,77
27,84,14,15,0.57,77
35,93,17,20,0.70,76
38,89,13,18,0.72,87
45,110,15,21,0.68,84
64,181,18,18,0.56,91
39,83,8,13,0.68,94
5,12,9,13,0.57,70
10,38,8,11,0.47,57
22,75,10,13,0.54,67
25,67,14,17,0.63,82
32,63,18,17,0.65,84
32,60,12,17,0.65,88
36,78,14,14,0.53,96
38,78,19,14,0.56,98
19,35,10,10,0.48,78
21,39,11,14,0.55,38
9,20,11,12,0.66,67
13,26,13,13,0.64,56
12,21,14,13,0.69,51
12,40,8,11,0.62,61
22,49,8,15,0.65,64
31,59,11,29,0.72,24
25,46,7,16,0.63,58
28,63,9,15,0.67,58
33,73,12,16,0.71,67
29,82,9,14,0.55,83
36,81,9,13,0.57,93
40,69,10,15,0.70,64
18,32,8,10,0.65,45
17,44,4,10,0.48,63
13,31,5,8,0.58,65
20,47,9,10,0.62,72
27,52,9,11,0.58,104
36,53,9,15,0.63,72
23,35,6,11,0.63,56
20,45,8,12,0.64,51
29,67,8,15,0.60,74
41,83,10,14,0.61,81
33,59,6,10,0.51,85
39,73,8,13,0.65,78
53,109,10,16,0.68,72
38,67,6,12,0.59,63
15,31,6,10,0.65,54
6,14,6,7,0.69,70
4,12,6,10,0.71,48
17,56,5,7,0.43,67
33,81,7,13,0.52,50
52,108,12,26,0.65,41
26,45,5,15,0.56,41
34,81,6,14,0.55,29
35,88,6,13,0.53,31
29,82,7,13,0.63,34
33,89,9,15,0.72,27
32,79,8,17,0.75,32
20,47,5,16,0.67,85
34,62,6,21,0.89,68
28,50,4,12,0.82,81
28,49,5,15,0.82,56
29,59,6,13,0.82,81
30,64,8,15,0.78,94
28,54,7,13,0.67,95
29,70,6,12,0.61,96
19,48,5,13,0.53,68
10,27,5,15,0.44,63
15,40,6,16,0.50,80
20,52,13,16,0.61,79
26,52,7,14,0.59,83
27,48,6,13,0.43,83
25,54,6,13,0.51,86
24,47,5,13,0.57,85
30,51,6,19,0.59,36
30,49,6,24,0.69,31
4,9,3,11,0.69,76
9,24,3,10,0.79,62
16,38,4,10,0.73,50
23,40,5,9,0.60,71
31,51,7,11,0.60,82
34,58,6,12,0.66,78
28,45,4,10,0.68,63
30,51,7,13,0.71,61
24,54,6,14,0.63,39
21,38,7,12,0.49,49
17,38,8,12,0.53,54
25,51,7,12,0.61,66
14,22,6,8,0.56,67
18,34,9,7,0.53,93
45,66,10,16,0.77,119
26,43,8,20,0.71,60
6,13,5,14,0.61,44
7,22,6,10,0.70,50
23,48,7,10,0.71,66
43,71,8,12,0.67,85
36,60,9,12,0.61,82
30,44,6,17,0.55,50
12,26,10,12,0.55,44
10,30,8,13,0.61,46
15,39,7,12,0.59,61
27,50,8,12,0.53,61
15,34,4,9,0.36,53
14,36,6,8,0.36,49
13,29,7,8,0.35,56
14,44,10,12,0.40,57
21,51,8,11,0.48,51
26,45,6,8,0.49,59
23,44,5,8,0.50,81
16,30,6,7,0.47,84
19,37,6,9,0.48,79
30,49,6,11,0.51,87
29,53,7,10,0.53,76
21,34,6,8,0.49,65
18,25,6,7,0.46,54
10,22,6,8,0.43,50
11,21,6,8,0.44,51
9,18,7,7,0.42,54
