PM2.5,PM10,So2,No2,Co,O3
109,182,12,72,1.07,51
172,231,15,58,1.18,44
28,32,14,28,0.55,55
10,12,18,23,0.38,58
50,44,9,25,0.56,52
69,73,10,41,0.80,57
65,50,8,27,1.10,72
76,78,13,38,0.89,74
51,75,13,50,0.58,62
41,72,11,53,0.63,66
40,74,12,43,0.56,78
70,94,16,48,0.62,62
76,109,16,80,0.90,32
71,103,14,77,0.98,50
81,119,15,100,1.00,42
97,118,10,73,0.93,50
109,125,8,50,0.82,53
148,163,11,67,1.21,36
181,207,11,58,1.24,36
213,252,16,69,1.63,31
157,198,7,81,1.70,29
65,76,8,51,1.03,56
146,176,9,42,1.08,41
73,89,7,39,0.57,45
27,28,7,24,0.39,68
39,36,8,17,0.40,88
37,37,10,23,0.41,74
59,44,10,17,0.46,86
131,116,11,28,0.78,124
149,159,14,43,0.93,108
145,166,17,50,0.96,126
132,159,21,69,1.16,69
117,159,24,49,0.86,75
32,68,10,20,0.29,97
51,70,17,29,0.46,97
72,101,20,67,0.71,66
67,97,18,66,0.78,56
104,146,17,74,1.02,47
86,125,20,54,0.88,77
151,190,25,80,1.30,49
144,194,14,38,1.02,72
81,205,13,47,0.77,73
39,113,10,50,0.44,94
71,126,12,41,0.63,97
78,124,17,47,0.80,90
105,124,11,24,0.85,63
133,142,12,19,0.74,42
90,95,10,19,0.73,63
64,54,10,14,0.59,78
23,16,12,13,0.43,52
36,35,11,19,0.76,63
54,53,11,16,0.68,78
61,71,10,17,0.63,89
40,53,13,26,0.62,72
47,58,10,54,0.67,30
105,119,10,22,0.69,72
50,64,12,33,0.74,57
38,44,13,42,0.71,40
27,29,11,22,0.59,72
67,69,9,36,0.88,73
79,78,9,20,0.85,77
57,61,14,29,1.01,58
42,56,12,33,0.99,44
27,37,13,16,0.43,80
37,52,11,24,0.59,76
23,24,12,21,0.63,67
26,29,11,17,0.44,89
63,74,8,35,0.52,70
63,84,7,41,0.51,77
52,79,10,53,0.66,71
52,77,12,47,0.61,74
59,91,14,50,0.68,87
47,63,12,30,0.67,82
38,47,10,22,0.60,93
37,38,8,17,0.44,65
71,84,8,29,0.90,52
38,40,5,25,0.83,44
23,20,6,17,0.77,56
43,32,7,13,0.69,90
50,57,7,22,0.60,89
45,60,9,47,0.62,69
50,78,17,50,0.68,93
66,121,13,83,0.91,45
45,75,8,42,0.55,70
47,76,9,43,0.49,82
49,77,9,37,0.54,90
50,78,10,38,0.54,106
66,102,13,57,0.84,81
80,95,13,29,0.79,85
60,89,12,33,0.75,94
65,97,9,46,0.76,96
45,67,8,35,0.64,92
39,57,9,31,0.65,77
50,64,9,25,0.62,58
28,39,9,20,0.58,58
28,39,9,20,0.58,58
34,95,8,15,0.62,84
19,87,8,19,0.48,102
33,117,11,25,0.55,105
35,82,14,24,0.60,113
43,91,15,29,0.61,135
60,104,13,37,0.84,122
