PM2.5,PM10,So2,No2,Co,O3
56,87,39,37,1.49,31
32,59,35,32,1.48,35
27,57,40,33,1.57,38
51,80,49,48,1.64,22
83,123,78,62,2.63,18
46,74,58,48,1.92,28
46,77,48,45,1.56,32
35,64,30,32,1.47,42
28,55,47,36,1.61,38
20,56,19,24,1.30,42
37,69,34,35,1.49,33
31,55,32,37,1.35,36
50,76,28,40,1.62,39
58,80,35,37,1.42,50
27,52,31,34,1.30,35
43,78,43,43,1.66,35
49,97,27,41,1.51,35
53,90,29,42,1.91,35
75,119,40,61,2.16,32
28,53,33,34,1.17,43
45,73,52,49,1.38,21
30,56,36,34,1.20,36
21,53,36,27,1.25,46
18,45,35,27,1.06,49
35,66,37,35,1.31,38
63,93,57,57,1.73,19
63,95,59,61,1.69,24
69,101,63,54,1.83,29
36,65,51,42,1.64,42
35,73,45,43,1.51,40
28,55,41,38,1.41,44
50,83,38,43,1.36,42
33,64,39,32,1.18,46
33,58,36,32,1.42,43
65,87,40,44,1.86,32
51,82,42,41,1.63,33
57,88,58,54,2.16,24
63,96,55,52,1.71,34
44,101,31,33,1.11,54
59,109,30,30,1.34,66
24,77,33,25,1.43,57
31,83,39,31,1.74,49
39,95,49,36,1.71,47
42,77,43,42,1.76,42
43,81,36,33,1.80,45
40,73,47,30,1.36,54
46,90,32,20,1.17,64
31,69,41,34,1.58,45
56,87,51,47,1.69,41
84,116,52,53,2.00,40
62,87,40,37,1.49,58
83,114,49,44,1.76,57
74,107,39,38,1.72,64
47,90,34,32,1.26,63
40,70,38,36,1.37,53
60,93,33,44,1.41,49
68,105,36,49,1.54,49
110,142,38,49,1.71,49
85,114,31,43,1.88,58
37,78,19,24,1.21,69
26,73,23,23,0.85,72
28,48,24,25,0.96,69
28,54,26,34,1.20,54
28,49,32,36,1.25,53
28,49,34,35,1.09,50
55,88,38,47,1.56,39
47,78,33,34,1.43,66
55,81,37,49,1.57,49
62,90,30,36,1.56,71
48,79,27,42,1.31,58
66,97,23,26,1.08,108
40,61,18,26,0.90,95
72,102,20,42,1.50,69
27,44,17,28,1.17,66
32,56,32,39,1.09,61
45,75,36,48,1.74,52
59,80,14,33,1.27,62
60,87,24,39,1.65,48
19,41,28,32,1.20,65
56,91,43,57,1.88,46
77,114,43,65,1.97,55
105,148,27,45,1.60,80
111,150,38,48,1.96,83
77,127,26,30,1.29,138
63,103,17,23,0.96,142
47,78,16,21,1.20,134
50,166,24,33,1.47,85
46,100,28,36,1.24,72
89,155,45,62,1.72,67
81,141,28,43,1.30,91
44,77,11,22,0.86,91
