PM2.5,PM10,So2,No2,Co,O3
39,68,27,22,0.85,35
22,31,33,24,0.83,18
11,14,23,26,1.01,9
28,34,37,27,1.24,10
30,38,33,24,1.25,11
14,19,18,10,0.51,50
38,54,28,21,1.06,9
13,21,17,14,0.89,42
44,58,25,15,0.87,63
52,71,47,23,0.78,67
65,93,62,30,0.79,52
54,83,57,27,0.65,54
39,62,31,17,0.55,69
64,89,49,21,0.68,63
58,76,22,18,0.68,51
27,35,34,21,0.92,72
46,62,39,20,0.91,66
57,75,27,21,0.96,33
78,95,25,21,0.85,70
60,72,34,34,1.21,10
32,39,38,23,1.07,37
46,63,39,22,0.98,38
30,39,23,15,0.71,48
36,46,14,10,0.49,72
34,48,17,15,0.81,48
21,31,22,20,1.05,15
18,15,27,16,0.98,14
13,16,22,14,0.98,30
54,61,28,20,1.05,39
79,92,37,23,1.17,59
47,60,25,14,1.10,62
75,90,36,24,1.14,56
45,63,27,15,0.79,67
42,69,30,17,0.60,77
61,97,37,22,0.73,62
50,73,46,21,0.72,73
55,89,49,24,0.77,71
77,117,45,21,0.82,64
92,131,44,23,0.86,67
63,100,38,25,0.75,80
62,83,27,18,0.87,69
68,83,26,24,1.00,69
99,145,32,22,1.06,81
82,123,32,22,1.10,71
52,75,37,17,1.06,65
60,77,40,13,1.05,69
77,92,51,15,0.96,84
64,79,12,7,0.74,88
67,84,14,9,0.79,100
72,93,14,12,0.96,70
42,58,18,14,1.15,51
27,35,14,11,1.06,50
21,20,15,7,0.81,55
32,45,24,11,0.78,56
26,39,23,12,0.82,71
40,57,27,15,0.96,88
47,66,20,14,0.91,68
40,55,17,11,0.73,69
45,59,16,11,0.81,77
45,63,15,10,0.70,100
45,63,14,9,0.64,101
47,71,8,7,0.62,108
39,67,13,11,0.54,123
107,151,12,16,0.86,82
41,54,10,20,0.98,27
9,14,15,12,0.74,50
24,41,19,14,0.61,92
30,67,29,21,0.61,91
31,58,15,12,0.58,108
49,77,19,13,0.67,122
57,81,14,13,0.75,108
33,46,9,12,0.74,88
32,41,19,17,0.67,92
45,64,34,27,0.77,68
59,81,14,14,0.59,85
63,81,5,8,0.65,108
58,77,9,11,0.65,121
17,33,12,13,0.63,78
48,86,31,22,0.72,79
32,66,18,23,0.69,73
48,91,37,26,0.76,69
47,79,12,15,0.73,98
