PM2.5,PM10,So2,No2,Co,O3
148,246,52,76,2.66,25
113,172,39,61,2.55,14
63,94,27,44,1.63,27
50,68,22,36,1.28,30
77,91,29,35,1.65,35
113,125,21,42,1.54,41
134,143,28,41,1.95,30
45,87,23,28,1.10,54
20,58,25,35,1.09,48
28,61,32,39,1.18,46
44,68,23,42,1.08,36
72,111,30,60,1.62,20
123,157,20,56,1.51,34
212,239,32,80,2.44,25
375,415,68,106,4.70,16
279,345,63,95,3.78,26
295,380,52,104,4.25,18
257,379,61,100,4.25,21
243,329,30,76,3.13,34
231,297,59,83,3.67,30
187,249,39,67,2.61,16
98,153,22,43,1.53,16
59,81,20,27,1.18,44
72,95,28,37,1.35,43
77,98,37,40,1.35,45
66,86,29,41,1.28,44
91,98,15,32,1.14,47
189,143,22,44,2.03,22
107,150,30,49,2.09,32
87,136,34,59,2.43,22
64,111,38,50,1.72,34
52,119,35,51,2.00,28
35,107,21,28,1.12,52
42,82,31,45,1.54,33
69,116,39,48,2.26,31
60,98,38,46,1.91,35
74,108,29,52,1.67,35
96,163,35,51,2.20,41
46,142,17,37,1.11,56
123,281,37,54,1.91,41
53,182,25,28,1.19,53
36,110,36,34,1.43,52
25,70,34,27,1.35,61
54,97,24,31,1.61,61
85,140,41,36,2.19,52
79,108,42,28,2.02,63
253,297,74,38,2.53,81
250,247,30,42,2.72,44
304,349,53,46,3.48,49
161,198,24,27,2.30,70
170,206,27,32,2.15,50
127,152,35,31,2.01,74
30,65,20,27,1.10,72
63,97,27,38,1.45,64
42,165,20,19,0.88,68
61,110,23,35,1.21,58
162,210,26,42,1.74,77
256,305,28,66,2.43,32
227,253,17,46,2.26,41
101,156,14,28,1.51,65
65,102,14,26,1.13,62
118,130,13,23,1.27,40
136,165,14,32,1.71,28
31,80,14,23,1.14,58
59,106,20,38,1.51,50
104,114,19,30,1.65,57
100,128,16,37,1.56,55
119,155,17,46,1.60,61
183,225,19,45,1.84,51
208,250,23,49,2.30,67
197,253,24,55,1.99,81
111,158,25,40,1.75,90
67,104,19,26,1.36,87
66,184,12,23,1.30,57
16,42,11,17,0.84,86
54,64,12,39,1.20,52
97,38,8,29,1.43,59
128,94,12,32,1.63,79
27,55,13,23,1.04,79
31,58,16,33,1.28,66
110,155,33,62,2.10,41
117,176,26,50,1.57,74
56,82,19,36,1.31,84
79,117,21,50,1.18,87
105,174,26,45,1.41,88
68,173,21,45,1.40,79
86,261,29,52,1.49,78
40,255,20,34,1.06,70
38,88,21,34,1.24,83
120,191,28,44,1.46,99
124,239,31,48,1.81,97
81,268,33,50,1.68,101
42,288,16,27,1.02,68
38,69,11,26,1.13,51
57,73,11,30,1.36,40
57,73,11,30,1.36,40
53,153,19,28,1.63,62
20,90,15,35,0.98,76
63,173,34,61,1.40,53
81,194,26,49,1.35,75
124,232,35,64,1.79,55
44,167,22,38,0.98,72
44,115,12,25,0.76,89
34,47,8,26,0.92,68
63,313,17,42,1.57,40
59,245,21,42,1.95,66
67,267,26,48,1.42,74
54,221,19,35,1.22,91
58,202,18,32,1.30,98
50,138,18,29,1.17,109
49,117,19,32,1.05,124
57,107,16,40,1.41,62
25,33,13,23,1.05,71
33,51,12,23,1.08,87
39,67,21,36,1.18,90
71,120,22,59,1.59,55
66,133,22,53,1.65,63
84,164,28,53,1.82,106
61,163,21,50,1.35,106
43,120,26,42,1.34,109
69,182,25,44,1.45,82
59,134,27,37,1.47,101
22,62,16,23,1.09,97
32,86,19,38,1.13,94
41,155,20,36,1.11,116
52,103,18,28,1.28,90
44,92,17,29,1.16,97
30,98,16,34,0.93,118
45,123,30,36,1.25,124
52,117,26,43,1.46,139
36,90,16,24,0.93,148
51,73,10,23,1.09,119
63,108,9,23,1.27,104
49,117,21,31,1.37,124
32,90,14,24,1.14,108
37,63,10,25,1.34,69
58,87,7,26,1.45,79
50,84,9,25,1.40,76
23,65,16,21,0.96,116
45,81,21,31,1.22,86
34,42,9,20,0.97,96
34,45,7,21,0.83,66
28,77,17,25,1.17,91
42,140,21,36,1.00,99
55,139,23,40,1.10,76
63,106,10,24,1.26,78
61,115,12,33,1.52,110
37,128,21,28,1.29,114
48,129,23,47,1.02,113
34,103,25,32,1.03,113
47,104,26,60,1.79,92
46,95,24,54,1.51,122
61,124,25,59,1.85,147
61,134,17,52,1.00,146
60,151,25,44,1.27,145
62,130,23,37,1.76,153
46,138,26,46,1.03,139
43,131,19,39,1.18,147
50,143,20,38,1.09,155
52,135,23,37,1.29,122
20,31,12,21,1.18,95
34,54,17,24,1.30,118
34,74,14,33,1.61,136
29,70,18,40,1.24,130
43,107,15,29,1.06,162
38,66,12,21,0.91,152
37,71,12,28,0.99,177
35,74,13,28,1.01,156
43,83,10,31,0.99,126
51,91,12,32,1.28,120
30,54,10,20,1.00,134
39,76,14,28,1.22,150
52,98,16,35,0.92,148
32,69,17,28,0.86,149
36,70,10,22,0.93,158
31,60,9,17,0.85,149
34,63,11,28,1.65,88
45,71,9,29,2.21,93
51,97,10,30,1.64,134
28,73,13,29,1.35,126
22,63,13,39,1.07,123
44,81,13,34,1.69,132
54,108,14,41,2.16,140
53,92,10,33,1.10,115
37,77,10,27,1.14,121
38,63,8,24,1.26,123
54,106,14,33,1.62,120
73,124,15,28,1.39,164
42,71,10,22,1.03,130
40,67,14,23,1.09,91
35,60,8,27,1.62,58
30,52,8,31,1.78,52
53,104,7,34,2.14,54
53,126,4,32,1.04,62
28,45,5,31,1.58,43
24,38,6,26,1.80,58
34,74,3,26,1.27,69
25,54,3,18,1.09,77
25,55,4,23,1.11,79
30,63,3,18,1.00,87
29,64,3,21,0.99,82
31,70,5,21,1.03,105
34,73,4,21,0.94,106
41,69,4,19,0.82,110
39,80,11,23,1.28,96
34,75,11,21,1.22,117
33,69,13,26,1.28,132
31,50,6,21,1.24,118
30,56,6,24,1.05,91
40,63,6,20,1.09,99
47,76,8,27,1.22,90
41,68,6,29,1.88,79
35,58,4,24,1.14,83
51,101,6,34,1.52,85
62,111,8,30,1.39,113
70,118,10,29,1.58,117
51,93,11,25,1.47,131
35,62,7,22,1.36,77
38,59,4,18,1.15,98
38,69,5,21,1.13,103
45,84,7,25,1.36,102
31,54,8,19,1.34,120
47,84,11,22,1.55,134
50,87,9,21,1.11,130
35,63,5,16,0.89,118
31,58,8,21,0.97,101
28,46,9,17,1.17,84
17,37,9,17,0.97,84
16,37,12,23,1.32,69
21,56,16,21,1.25,137
31,53,12,23,1.49,99
19,25,7,15,1.17,36
18,38,9,15,1.09,85
32,77,18,27,1.55,121
26,70,29,38,1.77,71
27,64,21,32,1.59,120
46,94,10,27,1.69,137
47,93,19,22,1.23,155
48,87,21,22,1.36,149
29,56,19,21,1.54,96
39,97,10,35,1.84,85
23,85,14,27,0.89,108
22,69,25,37,1.78,79
36,92,18,43,1.36,69
29,93,19,29,1.24,65
12,41,16,27,0.93,61
32,86,20,44,1.30,68
44,97,30,45,1.29,74
40,86,16,34,0.96,91
26,66,14,27,0.88,81
41,95,17,37,1.04,84
44,93,13,33,0.97,72
20,43,9,31,0.80,57
42,91,15,47,1.72,28
24,71,25,44,1.67,25
41,93,24,45,2.10,20
36,57,19,32,1.54,49
29,42,12,33,1.95,32
45,86,19,47,2.66,32
35,111,19,38,1.82,59
32,97,24,45,1.62,54
36,91,28,50,1.75,43
40,97,23,44,1.41,47
32,47,18,30,1.51,48
26,48,12,29,1.11,71
54,96,11,39,1.26,70
36,92,13,35,1.28,54
35,105,15,37,1.10,60
22,61,21,32,1.21,48
18,55,20,37,1.34,50
35,88,21,47,1.60,47
62,122,27,58,2.13,56
70,123,18,60,1.34,72
80,132,18,62,1.35,83
94,163,25,65,1.64,62
36,101,22,47,0.93,46
80,156,28,57,2.09,55
35,95,23,42,1.48,43
38,101,19,43,0.91,39
52,100,28,51,1.38,41
77,139,16,55,1.33,57
73,121,17,54,1.05,72
59,94,16,46,0.98,73
81,108,14,44,1.04,53
112,128,18,41,1.33,58
86,95,19,43,1.40,54
61,98,23,56,1.11,42
65,104,21,55,1.40,45
87,143,28,72,2.20,26
101,148,21,67,1.42,16
101,141,18,50,1.57,39
36,105,17,37,1.05,47
69,138,22,56,1.62,47
103,169,21,71,1.58,25
17,77,20,30,1.01,44
28,84,20,42,1.00,30
23,60,26,40,1.21,41
35,80,26,42,1.40,36
48,90,19,45,1.44,38
94,135,19,58,1.93,44
133,185,32,71,2.33,44
104,137,16,50,1.24,65
79,99,16,42,0.95,71
136,158,19,49,1.30,45
45,47,12,30,1.18,20
40,52,16,40,1.08,15
44,64,17,42,1.28,19
67,49,10,38,1.10,26
86,117,18,52,1.55,22
123,161,29,67,1.84,13
77,81,20,54,1.77,25
151,162,11,52,2.36,21
125,137,7,48,2.14,23
135,182,9,56,2.72,21
194,234,13,52,2.07,21
54,56,12,32,1.08,21
63,26,8,36,1.07,13
55,82,15,41,1.54,12
62,94,15,44,1.31,21
104,137,20,60,1.64,13
105,150,26,59,1.70,22
80,119,16,47,1.48,24
149,193,21,70,1.81,9
180,222,31,72,2.70,20
235,285,23,75,2.66,20
243,296,18,71,2.43,22
243,458,26,68,2.84,25
144,396,32,65,2.07,13
109,299,29,60,2.05,18
139,305,16,51,2.08,20
206,340,29,71,2.93,11
238,266,15,65,2.83,11
172,332,17,51,2.21,16
67,257,21,45,1.39,21
68,136,14,45,1.18,14
67,96,9,38,1.07,20
24,51,13,31,0.75,29
57,87,26,44,1.23,20
60,94,18,47,1.18,17
137,178,32,65,2.16,8
131,121,35,68,2.11,15
113,167,25,60,2.02,13
118,166,34,62,2.51,19
113,140,27,60,1.93,23
184,229,20,70,2.06,21
104,163,19,56,1.92,29
53,117,21,51,1.50,35
75,123,25,65,2.01,25
167,222,52,84,3.13,19
