PM2.5,PM10,So2,No2,Co,O3
62,78,18,26,1.18,42
22,45,14,20,0.74,56
30,43,17,25,0.85,56
32,50,17,24,0.84,50
39,50,16,33,0.68,51
24,34,13,27,0.35,60
28,40,15,24,0.55,56
13,33,11,14,0.60,68
23,37,12,20,0.76,55
26,41,14,23,0.89,52
35,54,21,28,1.12,54
45,55,17,32,1.14,35
88,92,21,34,1.80,38
111,134,17,39,1.91,27
39,44,13,26,0.28,45
55,60,16,27,0.40,53
70,83,17,25,0.62,58
28,42,14,25,0.48,57
34,50,15,24,0.40,58
15,27,12,13,0.26,67
24,34,13,18,0.40,59
20,30,13,14,0.36,64
24,36,19,18,0.46,62
27,36,16,24,0.54,62
31,38,19,26,0.64,53
42,61,19,27,0.81,48
25,42,14,19,0.56,58
18,33,13,16,0.40,60
21,37,15,21,0.56,59
45,56,17,33,0.97,50
29,46,14,26,0.76,48
28,43,15,28,0.87,44
25,38,11,22,0.63,53
35,57,14,28,0.77,43
50,82,17,29,1.13,38
36,52,13,26,0.80,51
65,91,18,33,1.04,45
42,66,14,27,0.56,54
26,96,10,17,0.46,69
39,85,15,21,0.70,64
16,51,9,13,0.40,71
14,31,9,13,0.41,73
18,41,12,17,0.49,70
24,37,12,20,0.59,67
22,40,11,15,0.58,72
20,37,10,15,0.55,68
17,54,11,14,0.52,74
19,37,13,18,0.67,66
25,43,12,19,0.80,66
16,32,10,14,0.56,77
20,36,12,15,0.70,78
17,37,10,15,0.64,75
22,36,12,17,0.73,76
36,54,15,19,0.86,67
28,44,13,10,0.83,69
45,67,13,11,0.86,69
74,99,12,15,1.03,67
89,112,18,20,1.07,79
74,97,15,16,0.73,67
32,49,13,8,0.32,83
39,66,15,13,0.37,70
55,113,19,14,0.45,88
19,35,13,8,0.23,89
21,28,13,8,0.28,82
24,40,12,12,0.35,80
40,52,13,22,0.57,64
29,41,11,16,0.41,74
34,45,14,10,0.38,99
60,75,16,17,0.61,111
63,84,13,28,0.72,64
65,99,17,21,0.76,75
70,98,17,16,0.67,101
38,60,11,16,0.41,73
18,31,11,12,0.42,78
26,46,11,12,0.43,73
27,46,12,11,0.42,82
24,43,9,8,0.36,92
31,50,12,13,0.46,88
47,71,13,23,0.56,74
47,70,11,15,0.54,86
40,65,14,17,0.53,74
36,65,11,18,0.60,84
52,80,11,16,0.59,92
75,99,15,24,0.75,81
85,224,14,19,0.72,81
74,330,11,16,0.60,83
45,79,5,9,0.40,90
23,41,8,12,0.39,88
31,60,8,13,0.41,80
69,99,10,20,0.58,91
87,261,14,18,0.79,102
26,106,10,9,0.40,97
13,41,8,8,0.43,84
27,34,10,13,0.67,81
35,57,11,14,0.76,77
35,57,11,14,0.76,77
24,47,8,8,0.63,85
16,30,8,10,0.62,84
20,41,9,10,0.64,88
36,65,11,23,0.71,73
43,93,12,14,0.60,83
19,53,7,10,0.54,89
38,50,9,17,0.30,78
45,123,10,16,0.35,80
22,51,9,10,0.28,69
13,32,10,14,0.23,86
29,96,11,17,0.29,74
62,180,11,19,0.49,99
60,110,11,26,0.46,96
32,64,8,19,0.28,83
44,107,12,14,0.41,102
24,41,8,10,0.25,92
24,37,9,16,0.28,91
27,48,8,25,0.39,96
35,57,10,32,0.45,69
20,43,8,14,0.26,81
21,70,7,15,0.28,84
27,63,7,14,0.26,85
28,66,8,14,0.28,85
39,111,9,17,0.42,81
22,44,9,24,0.43,70
16,45,8,16,0.27,86
14,34,8,11,0.23,88
14,34,9,16,0.30,90
27,56,11,18,0.50,104
23,81,7,11,0.32,88
13,52,6,10,0.31,89
17,49,10,12,0.35,94
19,50,7,12,0.36,91
21,49,9,24,0.40,88
19,54,9,18,0.38,96
21,68,9,14,0.38,103
45,95,8,10,0.56,117
46,80,9,13,0.56,103
51,128,13,16,0.80,147
50,126,11,14,0.74,133
24,75,8,8,0.41,93
14,33,7,13,0.34,82
16,39,7,14,0.34,100
20,49,7,16,0.33,103
27,101,8,11,0.35,111
26,85,7,9,0.34,122
16,50,6,9,0.31,96
20,75,8,8,0.28,73
28,78,7,12,0.32,79
16,29,6,11,0.34,82
18,43,6,18,0.37,85
14,21,5,6,0.34,83
14,28,6,11,0.38,75
12,28,5,6,0.38,99
18,32,4,13,0.39,107
22,48,5,15,0.45,105
22,51,6,12,0.35,112
29,71,7,10,0.39,131
63,179,5,8,0.38,112
28,85,3,8,0.33,83
30,57,5,14,0.44,69
11,31,6,11,0.33,81
13,29,4,7,0.35,100
14,29,5,11,0.41,102
15,38,7,7,0.35,111
20,31,5,7,0.36,122
21,34,5,7,0.40,117
16,32,4,9,0.40,115
17,32,7,8,0.35,121
27,47,5,8,0.46,120
22,33,6,6,0.43,121
33,50,6,13,0.50,97
9,27,7,11,0.31,91
29,61,6,7,0.43,85
11,24,6,12,0.39,79
11,21,3,8,0.53,61
13,26,5,13,0.37,75
17,37,9,15,0.16,84
15,32,6,8,0.14,82
16,24,6,14,0.19,79
31,64,5,12,0.32,104
37,77,7,10,0.40,105
12,25,6,9,0.22,76
10,21,6,9,0.22,65
14,24,5,8,0.18,88
16,31,6,10,0.18,96
26,48,8,11,0.32,129
27,45,6,10,0.33,120
19,35,6,8,0.27,120
15,37,7,15,0.32,98
11,26,6,10,0.25,78
12,23,7,8,0.15,60
14,27,8,9,0.23,73
22,34,7,3,0.33,89
32,49,6,5,0.50,76
34,51,8,13,0.48,64
19,46,6,13,0.37,71
22,45,6,7,0.38,89
14,40,5,9,0.27,83
24,47,5,8,0.18,79
12,31,8,14,0.28,85
29,52,4,7,0.38,75
27,49,6,8,0.31,79
28,44,5,3,0.20,86
57,83,3,4,0.44,95
42,66,3,6,0.30,82
42,68,5,5,0.28,96
9,26,7,5,0.16,87
14,35,5,8,0.21,93
16,39,7,6,0.14,67
7,12,3,5,0.20,64
9,16,2,13,0.31,48
15,33,2,21,0.31,61
12,36,1,15,0.24,72
15,39,3,9,0.23,91
15,28,2,7,0.22,69
9,21,2,10,0.26,66
10,23,3,17,0.15,67
10,32,2,10,0.13,78
