PM2.5,PM10,So2,No2,Co,O3
82,97,19,27,1.47,42
98,122,35,37,1.73,23
84,109,23,39,1.83,19
74,85,21,35,1.69,16
33,46,20,20,1.62,23
20,27,24,28,1.92,9
35,47,29,33,1.91,4
14,20,16,23,1.53,11
28,39,10,20,1.49,26
45,65,11,27,1.40,24
51,78,12,29,1.38,20
47,76,20,34,1.36,22
68,99,21,41,1.50,25
81,110,26,37,1.54,27
95,123,28,34,1.51,42
59,83,11,31,1.38,11
62,89,27,34,1.64,9
81,106,25,30,1.63,26
47,77,18,30,1.42,18
56,83,22,27,1.42,28
119,141,24,33,1.72,25
47,79,18,30,1.46,30
94,118,34,33,1.70,37
106,125,35,35,1.54,44
41,71,29,24,1.19,59
18,29,14,16,1.24,29
7,12,10,14,1.28,17
16,22,15,17,1.31,18
27,38,12,16,1.20,50
71,86,19,20,1.38,66
80,101,23,28,1.48,50
65,92,45,31,1.48,52
42,61,9,18,1.18,63
41,66,14,23,1.02,53
45,84,17,24,0.94,59
40,71,10,20,0.79,66
67,104,22,42,1.06,26
72,107,17,39,1.13,22
62,93,20,27,1.01,54
87,123,32,39,1.17,61
137,169,20,46,1.30,39
100,122,16,31,1.01,48
75,114,10,27,0.93,51
80,115,21,22,0.74,62
92,121,28,22,0.81,76
83,108,24,19,0.87,58
152,187,36,17,0.91,64
83,98,20,15,1.16,56
49,66,21,13,1.05,61
34,51,18,13,1.01,56
41,56,21,16,1.08,51
34,51,14,16,1.21,34
15,25,11,12,1.15,41
25,43,24,16,1.19,46
53,73,35,26,1.46,28
56,75,16,23,1.44,40
44,60,22,22,1.35,49
46,72,27,25,1.42,41
31,55,25,22,1.34,46
44,70,27,21,1.23,53
45,71,28,18,1.16,68
58,95,25,24,1.18,67
46,75,25,25,1.25,79
70,104,21,24,1.36,67
58,86,11,14,1.43,79
57,80,24,25,1.48,33
20,36,11,22,1.27,37
29,63,17,28,1.22,55
53,86,35,29,1.32,75
56,85,32,27,1.43,90
61,81,31,25,1.45,69
38,54,26,20,1.36,55
46,69,27,22,1.35,56
39,58,25,25,1.35,66
67,94,25,28,1.44,47
53,76,28,20,1.21,66
41,70,27,23,1.18,60
28,53,20,21,1.09,54
31,57,23,24,1.17,60
24,44,23,15,1.17,71
44,90,20,34,1.26,50
82,128,42,40,1.49,65
91,134,40,38,1.58,58
52,64,21,31,1.39,35
33,52,25,28,1.48,25
42,65,17,32,1.54,16
41,58,13,26,1.40,21
40,59,15,23,1.31,54
62,97,20,27,1.37,57
65,103,24,28,1.36,56
63,105,32,29,1.44,61
66,108,33,29,1.43,81
62,103,34,29,1.38,66
54,87,21,25,1.26,70
41,67,18,17,1.11,83
41,67,18,17,1.11,83
9,23,8,11,0.96,78
38,130,16,21,1.01,56
50,134,18,21,1.07,66
59,133,33,25,1.24,97
56,95,30,22,1.32,90
42,65,22,15,1.32,91
69,116,25,26,1.44,75
76,121,20,27,1.43,98
47,74,15,18,1.39,67
22,34,13,13,1.32,52
25,52,12,17,1.37,59
36,83,26,27,1.46,61
48,106,31,26,1.32,80
59,103,31,24,1.40,76
48,78,32,24,1.44,55
41,85,30,23,1.29,59
41,85,27,17,1.17,80
56,99,23,17,1.09,105
20,36,10,14,1.20,64
16,37,14,15,1.31,39
13,34,23,20,1.49,22
16,43,12,18,1.37,31
24,61,23,20,1.38,55
38,69,22,23,1.53,51
43,85,22,23,1.33,59
31,65,28,17,1.23,69
25,57,22,24,1.38,39
22,38,11,11,1.17,52
19,34,16,14,1.27,55
30,53,21,21,1.36,25
24,53,21,16,1.23,46
25,60,20,15,1.19,77
21,39,11,13,1.20,49
20,39,13,14,1.38,42
21,50,17,15,1.32,49
33,59,23,15,1.37,62
26,50,21,14,1.12,58
33,56,19,15,1.36,69
29,54,21,16,1.23,69
25,55,15,18,1.13,78
32,64,17,20,1.03,74
34,65,22,17,0.93,79
32,69,25,17,1.00,104
28,58,23,19,1.00,91
33,60,24,18,1.02,83
30,58,22,18,1.00,80
29,58,22,20,1.01,78
17,40,11,13,0.99,77
27,56,15,19,1.04,61
22,51,21,17,0.99,80
24,49,24,14,1.03,91
12,15,9,8,0.94,74
17,43,15,14,1.05,76
34,75,19,23,1.24,70
35,64,15,24,1.29,47
28,56,15,21,1.34,55
22,43,14,18,1.26,29
16,29,12,11,1.15,45
12,26,14,14,1.30,41
16,31,13,18,1.40,29
11,32,9,12,1.23,51
21,56,9,17,1.23,62
30,63,10,20,1.24,73
33,63,10,20,1.27,73
35,63,10,18,1.29,63
35,60,10,16,1.33,80
31,44,8,16,1.40,59
29,48,14,17,1.50,48
15,31,8,14,1.43,53
20,42,8,12,1.32,51
29,51,9,18,1.35,42
34,67,10,19,1.45,50
37,65,15,21,1.56,60
27,51,21,17,1.52,72
25,46,23,14,1.41,70
25,53,22,17,1.51,64
26,57,14,21,1.67,47
23,55,14,19,1.66,55
18,36,11,19,1.65,43
13,21,14,12,1.57,43
11,27,15,11,1.49,48
9,21,14,11,1.03,44
9,24,14,12,0.80,41
14,33,17,14,0.84,48
25,53,17,20,0.99,55
23,47,15,19,0.98,55
20,47,13,17,0.98,59
20,48,17,18,1.00,65
24,55,18,20,1.05,74
24,52,20,17,1.02,83
22,50,19,13,0.88,83
14,36,9,14,0.91,75
16,34,8,17,0.96,41
16,32,13,15,0.99,51
21,43,13,16,1.01,72
