PM2.5,PM10,So2,No2,Co,O3
67,96,46,34,1.51,31
55,77,40,26,1.34,36
47,69,41,27,1.08,38
54,76,50,41,1.02,30
66,90,61,45,1.57,28
76,112,64,50,1.82,24
81,124,74,55,1.96,19
75,101,64,44,1.95,30
25,50,19,15,0.91,57
39,53,36,24,0.97,39
43,54,32,22,0.84,44
50,66,62,34,0.97,35
61,84,61,46,1.38,25
61,83,49,36,1.33,39
42,61,35,32,1.22,46
60,109,47,42,1.58,32
68,124,50,35,1.53,43
42,70,32,32,1.18,43
60,92,50,41,1.28,33
46,65,27,29,0.99,45
45,68,47,34,0.91,34
44,68,46,25,0.94,41
33,55,28,15,0.80,48
26,63,35,20,0.83,46
42,64,43,22,0.89,48
32,49,35,25,0.91,46
52,82,61,39,1.31,33
54,80,47,35,1.55,40
40,75,41,33,1.40,42
54,88,45,35,1.56,41
47,81,35,37,1.49,41
53,78,52,41,1.46,34
57,77,40,33,1.52,42
50,62,35,26,1.30,52
65,81,48,32,1.26,41
56,71,42,29,1.17,44
57,75,53,33,1.21,40
55,73,63,32,1.16,45
54,79,73,32,1.30,49
54,79,44,29,1.21,63
29,59,21,16,0.85,62
35,64,23,19,1.26,54
20,65,17,13,1.00,68
47,79,40,30,1.61,44
39,65,43,23,1.25,53
53,78,58,25,1.10,48
181,234,51,21,1.20,52
26,70,26,14,0.86,58
42,60,52,25,1.01,49
44,63,50,26,1.09,51
37,52,47,22,1.03,53
41,63,48,24,1.08,54
51,80,54,26,1.28,62
46,71,39,22,1.07,65
37,52,35,22,0.85,62
40,57,46,28,1.11,56
43,68,48,32,1.38,55
57,67,24,23,1.35,83
69,89,47,39,1.60,56
36,46,14,14,0.99,85
43,84,35,21,1.03,75
37,54,18,25,1.10,72
27,46,18,14,0.66,82
26,36,19,15,0.66,83
33,48,24,19,0.86,67
29,46,30,26,1.16,62
30,36,11,13,0.98,95
38,54,34,32,1.25,69
44,62,17,23,1.36,84
44,63,27,28,1.33,78
54,89,36,35,1.48,86
42,61,17,18,0.98,122
68,91,25,28,1.52,96
24,37,12,11,0.71,91
31,44,31,28,0.79,66
32,51,32,27,0.99,65
24,33,14,19,0.96,84
31,46,23,19,0.97,72
13,25,14,12,0.79,90
22,43,20,22,1.19,67
35,63,28,27,1.34,66
55,90,27,24,1.46,90
69,85,17,28,1.63,85
47,87,33,30,1.56,82
68,112,32,28,1.39,119
68,111,18,23,1.36,142
49,140,11,13,1.12,129
61,99,22,24,1.28,81
52,90,35,32,1.59,69
37,73,22,20,1.58,88
51,95,20,20,1.82,97
50,90,18,16,1.46,117
29,52,11,11,0.53,83
30,48,12,14,0.63,79
54,71,15,25,0.93,78
54,71,15,25,0.93,78
48,58,12,16,0.96,71
32,67,14,10,0.75,82
24,49,17,15,0.88,74
39,60,16,19,1.01,79
29,65,18,18,1.18,100
25,65,9,6,0.76,99
21,98,11,9,0.59,95
49,85,18,20,0.73,74
16,30,11,12,0.70,87
27,52,9,16,0.69,69
40,66,17,21,0.60,69
33,66,19,17,0.56,100
43,94,13,18,0.75,136
48,106,13,24,0.98,127
47,106,15,20,0.84,102
35,67,9,16,0.85,119
43,60,9,14,0.67,75
17,36,10,15,0.59,89
21,42,14,16,0.68,90
35,71,21,29,0.86,73
41,96,20,25,0.83,93
26,59,9,19,0.60,85
40,105,14,22,0.84,94
48,107,13,23,0.96,137
42,116,10,17,0.81,86
44,73,12,33,1.13,52
21,29,7,13,0.79,72
21,46,6,10,0.68,92
30,69,14,21,0.87,81
43,98,16,25,0.96,80
22,57,8,20,0.84,84
26,62,9,21,0.77,63
32,58,15,21,0.63,65
25,51,13,20,0.61,61
31,73,13,21,0.78,91
33,62,10,22,0.79,101
25,52,10,22,0.83,71
32,60,13,24,1.00,73
46,92,14,21,1.06,93
42,77,8,11,0.94,114
13,34,8,8,0.90,66
17,27,9,11,0.88,39
9,18,7,6,0.69,44
14,37,9,13,0.60,45
24,54,12,19,0.65,43
19,46,13,18,0.69,60
20,47,9,16,0.80,54
14,67,6,6,0.70,76
39,134,8,11,0.91,115
53,110,9,16,1.14,125
46,84,14,24,1.10,69
30,49,10,12,0.90,86
27,60,10,11,0.78,76
11,25,7,6,0.59,85
11,26,9,10,0.64,71
20,39,7,18,0.67,74
27,54,13,25,0.74,80
32,66,15,23,0.86,87
24,56,12,18,0.66,99
23,58,14,22,0.64,86
33,70,12,17,0.68,86
39,69,9,16,0.79,92
39,56,8,19,0.89,87
14,24,7,42,0.87,69
23,40,15,16,0.82,65
14,23,8,11,0.80,67
11,19,9,9,0.90,56
21,31,8,12,1.26,58
20,34,9,12,1.06,65
16,30,12,14,0.87,31
12,24,10,14,0.79,36
20,40,9,10,0.80,52
28,45,8,10,0.79,61
24,45,8,8,0.85,61
19,32,9,13,0.83,54
16,30,8,11,0.83,53
18,31,8,16,1.41,45
23,44,10,15,1.06,61
30,64,13,16,1.09,97
48,80,13,18,1.57,109
47,82,11,14,0.99,99
34,59,9,14,0.93,99
31,49,7,12,1.18,71
18,29,7,10,0.99,55
18,33,8,9,0.79,55
28,48,8,13,0.90,85
27,50,11,12,0.73,64
13,27,11,12,0.75,50
21,35,7,12,0.89,74
23,45,9,13,0.81,58
25,48,11,17,1.04,66
16,25,10,14,0.85,59
17,30,10,13,0.80,38
16,29,9,10,0.63,19
16,31,8,13,0.74,41
15,30,8,12,0.75,34
9,26,10,10,0.66,16
6,16,8,5,0.69,23
7,16,7,6,0.71,28
9,18,7,11,0.81,19
13,24,7,13,0.79,25
13,25,6,8,0.77,15
11,26,6,7,0.76,24
13,30,6,7,0.80,22
15,30,6,10,0.78,30
14,30,6,9,0.82,29
15,33,6,11,0.83,34
25,52,7,12,1.02,58
33,62,8,17,1.08,54
20,46,10,13,0.91,45
16,34,6,9,0.79,28
12,27,7,6,0.77,45
20,36,7,9,0.78,49
22,48,8,8,0.81,58
23,43,8,8,0.83,64
29,53,7,10,0.89,75
41,69,8,13,1.03,79
33,91,10,12,0.93,65
15,37,9,15,0.79,75
25,52,9,13,0.98,74
23,44,6,9,0.84,73
14,25,5,7,0.76,59
13,26,8,11,0.98,66
15,25,6,13,1.08,28
11,22,6,14,1.30,40
15,33,6,12,0.86,60
17,44,7,15,0.82,57
14,39,9,15,0.79,80
20,62,11,21,1.12,68
18,35,7,12,0.89,61
9,22,8,17,0.77,35
8,22,6,10,0.57,31
9,24,7,7,0.69,48
13,37,9,15,1.01,53
20,48,9,18,1.07,29
17,47,12,15,1.02,57
13,30,11,20,0.92,35
9,25,7,12,0.91,56
17,42,10,21,0.92,34
10,33,12,16,0.83,41
9,17,7,11,0.91,54
13,37,11,16,0.78,49
11,21,10,14,0.95,60
12,28,8,13,0.73,47
8,33,7,13,0.78,35
6,17,6,10,0.79,62
12,25,7,15,0.95,32
9,26,9,16,1.03,36
12,37,8,18,1.03,37
10,26,6,13,0.69,44
11,32,9,16,0.72,29
11,31,25,13,0.55,33
14,43,21,16,0.63,30
14,42,17,17,0.70,25
14,46,9,14,0.77,30
16,48,11,17,0.84,38
20,57,15,20,0.92,31
17,50,9,13,0.89,30
8,26,15,15,0.82,39
18,50,29,19,0.95,18
14,45,17,20,0.89,34
20,56,14,22,1.08,46
17,51,12,25,0.99,41
19,53,12,24,1.14,24
13,35,8,16,1.00,30
10,23,8,17,0.86,31
9,20,7,11,0.80,25
11,30,9,15,0.70,22
15,41,8,18,0.75,23
17,45,9,21,0.95,29
18,52,10,26,1.07,12
17,38,7,18,0.92,40
12,23,7,16,1.03,36
14,22,8,18,1.04,28
19,37,9,22,0.94,20
21,49,9,22,0.90,27
23,66,12,27,0.85,27
21,60,10,24,0.81,29
16,54,10,19,0.80,46
11,39,11,19,0.71,38
15,57,10,16,0.80,41
14,45,11,20,0.78,36
7,12,7,11,0.77,35
10,23,7,12,0.68,29
21,48,10,23,0.90,21
21,55,13,25,0.95,27
33,80,14,24,1.09,47
24,46,8,23,0.92,36
17,51,11,23,0.82,26
18,53,12,20,0.80,29
19,54,13,23,0.76,33
24,66,17,30,0.82,29
29,84,22,36,1.01,28
31,83,23,37,1.12,25
34,83,21,34,1.13,45
22,43,12,24,1.04,41
29,65,16,23,1.05,30
38,93,18,38,1.23,34
17,48,24,18,1.01,56
12,42,11,10,0.85,40
10,24,17,14,0.94,39
10,32,21,16,0.90,23
13,23,17,15,0.74,31
24,43,27,25,1.13,23
32,70,20,33,1.13,19
32,80,20,36,1.18,23
29,71,19,31,1.09,34
43,93,20,38,1.29,19
12,22,14,16,0.78,22
23,48,26,24,0.85,20
28,73,30,31,0.99,19
29,60,19,31,1.23,14
20,32,11,19,1.19,40
38,68,19,28,1.24,25
25,58,20,31,1.06,18
29,65,18,29,1.15,24
30,65,16,27,1.11,27
30,70,21,29,1.27,23
43,97,38,37,1.69,9
20,35,17,20,1.12,36
31,62,26,30,1.58,21
32,64,25,33,1.72,22
41,71,22,31,1.69,23
33,53,19,28,1.31,27
29,45,19,25,1.14,33
34,57,21,30,1.09,29
33,59,25,33,1.04,27
39,58,34,41,1.33,20
48,68,24,38,1.46,25
53,86,20,24,1.31,49
25,95,7,6,0.76,70
20,71,16,17,0.94,36
26,59,20,22,0.95,28
30,63,21,20,0.97,33
34,75,23,26,1.05,30
51,112,41,44,1.59,10
45,105,14,25,1.39,24
15,34,11,10,0.79,43
29,49,22,24,0.97,24
32,53,18,16,0.99,36
16,41,19,11,0.85,42
20,45,25,17,0.95,37
37,72,30,27,1.28,28
40,77,29,31,1.21,28
42,76,35,32,1.35,29
58,88,33,32,1.49,31
55,91,33,26,1.29,36
53,79,27,29,1.09,31
43,72,26,23,1.20,39
41,63,25,19,1.35,56
47,76,32,27,1.58,36
44,73,36,34,1.83,20
51,82,32,29,1.64,18
46,84,32,28,1.29,19
44,77,38,33,1.40,12
41,75,28,19,0.98,22
45,82,26,21,1.14,23
49,87,22,24,1.00,20
50,81,28,23,1.02,25
