PM2.5,PM10,So2,No2,Co,O3
68,220,86,28,1.26,45
50,102,23,10,0.71,67
50,95,71,25,1.00,37
77,103,52,30,1.51,37
69,102,37,23,1.20,36
55,91,10,13,0.86,61
30,88,6,8,0.54,70
35,97,21,24,0.86,45
41,87,31,29,1.14,40
50,107,39,39,1.23,32
52,101,51,41,1.17,33
82,125,104,53,1.65,31
89,157,148,49,1.61,33
68,137,135,37,1.41,49
59,143,68,25,0.94,50
51,212,79,39,1.11,36
28,110,22,20,0.65,62
49,128,95,44,1.54,22
56,126,156,41,1.45,39
34,73,64,34,1.31,47
30,100,88,25,0.88,61
25,93,44,21,0.83,58
40,132,82,28,1.07,50
66,294,124,26,1.38,42
60,125,83,29,1.10,39
92,120,127,30,1.58,43
51,102,62,15,1.16,60
21,70,26,10,0.76,60
37,95,70,29,1.14,42
23,81,11,9,0.79,63
42,131,38,26,1.22,46
24,78,18,15,0.76,68
19,71,30,14,0.76,67
27,70,78,22,0.89,50
30,70,104,27,1.00,50
55,110,128,38,1.30,50
47,101,59,29,1.23,61
48,141,52,34,1.05,53
51,156,42,34,1.05,47
168,1148,19,8,0.69,79
27,97,10,9,0.70,76
27,110,41,17,0.91,66
35,90,30,32,1.23,53
68,137,101,45,1.64,53
34,99,48,19,0.93,72
26,77,42,21,1.02,64
54,100,52,20,1.10,68
32,145,11,6,0.71,87
25,75,61,13,0.83,71
32,82,18,10,1.00,83
21,63,42,9,1.02,78
20,40,13,17,1.15,61
31,58,46,24,1.41,52
32,129,47,16,1.20,54
47,249,23,22,1.33,48
38,123,35,27,1.38,50
53,161,124,32,1.40,40
38,73,17,23,1.39,46
21,62,43,20,1.18,64
21,73,61,21,1.04,67
31,96,52,26,1.29,66
32,143,51,17,1.02,70
22,75,18,16,0.89,80
32,67,47,24,1.17,62
32,69,49,27,1.17,61
36,206,15,10,0.66,81
29,108,47,31,1.08,57
36,106,75,31,1.33,62
32,83,70,27,1.13,69
43,100,49,34,1.36,68
44,111,80,39,1.13,64
40,99,27,37,1.08,59
36,109,28,35,1.10,64
55,399,16,11,0.74,83
54,341,33,20,0.89,72
63,412,8,8,0.70,85
69,326,7,10,0.85,84
63,348,17,22,0.98,70
82,278,17,14,1.02,73
44,210,19,21,0.86,72
36,138,40,27,1.05,65
20,71,27,20,0.88,79
22,96,57,29,0.99,68
34,131,33,35,0.99,63
57,251,19,40,1.03,58
54,200,18,42,1.14,57
46,162,33,43,1.14,68
44,192,29,32,0.97,65
84,370,8,13,0.75,74
64,257,13,16,0.93,77
59,178,15,35,1.07,63
52,201,32,37,1.24,63
61,341,13,8,0.75,83
188,1200,35,19,1.14,68
77,340,19,9,0.90,86
77,340,19,9,0.90,86
46,207,11,16,0.95,88
40,115,36,36,1.36,64
38,110,28,38,1.32,60
82,365,51,27,1.20,67
90,356,15,17,0.81,80
52,190,93,31,1.16,63
75,278,44,19,1.08,82
38,155,4,7,0.81,92
30,109,22,21,0.94,82
38,112,28,39,1.24,65
41,89,21,35,1.29,67
26,106,49,42,0.91,67
34,117,41,34,0.66,69
47,143,20,15,0.59,109
68,173,26,19,0.68,95
40,131,63,33,0.87,60
31,138,26,25,0.67,65
26,102,5,8,0.41,71
18,35,16,21,0.69,50
24,64,16,26,0.74,57
29,94,10,23,0.83,65
33,112,15,31,0.69,58
30,117,18,30,0.57,69
32,136,17,16,0.43,85
21,52,8,17,0.49,82
33,128,13,18,0.44,80
40,136,30,27,0.55,79
36,104,22,27,0.64,74
62,198,17,12,0.59,88
34,99,6,9,0.49,100
24,45,24,16,0.62,84
24,77,36,29,0.68,86
35,118,36,22,0.68,84
72,289,12,12,0.47,90
23,40,6,11,0.55,88
25,70,15,23,0.82,84
37,137,32,31,0.90,89
55,192,85,45,0.88,71
39,111,36,27,0.77,92
40,140,26,24,0.69,96
83,333,4,6,0.42,96
47,146,17,17,0.62,85
78,261,16,21,0.61,87
78,200,16,15,0.72,99
29,78,23,24,0.82,81
31,105,5,8,0.53,105
24,61,42,18,0.93,100
28,90,39,29,0.71,79
24,73,28,19,0.62,96
71,409,7,12,0.54,106
99,335,12,13,0.56,120
70,246,18,37,0.80,79
45,157,60,39,0.88,93
35,125,46,35,0.74,80
23,90,40,33,0.65,93
21,69,17,19,0.53,107
20,62,10,14,0.55,127
40,139,16,15,0.76,93
28,63,6,13,0.55,116
19,52,8,26,0.67,89
30,101,27,42,0.79,83
23,96,18,10,0.45,114
29,102,90,26,0.87,73
22,41,13,19,0.57,95
18,61,25,30,0.71,89
22,80,39,32,0.70,94
29,98,45,30,0.80,99
31,113,61,24,0.62,111
25,76,113,19,0.66,119
24,83,93,26,0.73,106
18,51,15,14,0.56,106
21,69,11,20,0.66,96
32,102,38,24,0.76,111
35,83,48,31,0.94,83
34,77,62,32,1.13,87
22,57,21,25,0.83,112
20,52,11,24,0.73,117
30,91,54,25,0.83,109
19,77,32,14,0.56,119
27,100,19,14,0.60,115
22,51,26,16,0.69,96
15,47,10,15,0.62,104
16,43,25,14,0.66,106
13,39,14,16,0.62,107
16,58,56,22,0.75,92
20,61,46,25,0.90,91
21,48,28,12,0.73,89
9,31,12,15,0.64,99
18,53,28,33,0.99,66
11,32,19,21,0.76,99
16,49,69,24,1.04,64
