PM2.5,PM10,So2,No2,Co,O3
140,309,23,67,1.69,28
156,282,24,64,2.02,12
177,204,10,55,2.10,14
70,68,7,25,1.07,35
120,135,9,27,1.23,41
92,91,21,39,1.53,45
66,79,12,28,1.18,64
45,89,26,39,1.05,46
63,96,30,48,1.19,47
69,107,29,53,1.29,40
75,113,34,57,1.39,38
95,132,30,58,1.39,39
153,193,36,70,1.83,31
176,213,31,70,2.20,36
193,245,19,78,2.33,20
97,170,19,59,1.50,36
111,204,17,56,1.41,38
78,155,30,59,1.52,18
80,141,22,55,1.44,31
82,132,23,58,1.40,32
78,117,24,56,1.40,35
85,134,21,60,1.49,29
104,159,19,54,1.48,28
95,130,17,43,1.41,22
138,121,19,37,1.60,38
141,150,13,31,1.28,52
165,158,17,38,1.39,60
93,114,15,34,1.19,52
37,53,17,31,0.87,57
42,63,14,34,0.87,54
45,84,10,37,0.90,50
61,107,15,49,1.07,38
35,92,11,30,0.65,60
54,93,13,42,0.84,41
74,110,16,47,1.06,41
70,107,15,50,1.06,51
85,123,18,55,1.20,51
73,133,17,49,1.13,43
98,169,20,60,1.30,30
112,469,13,42,1.10,46
37,123,9,21,0.67,78
48,124,19,31,0.96,57
54,110,16,34,0.99,60
82,125,19,44,1.30,60
124,164,29,48,1.64,70
108,178,22,35,1.41,78
154,215,23,34,1.51,92
159,209,24,43,1.70,66
55,90,14,24,0.86,70
32,41,5,19,0.60,67
37,54,8,21,0.71,54
29,39,7,18,0.55,75
40,60,11,31,0.80,56
43,75,11,35,1.00,42
43,166,8,30,0.66,61
56,121,22,38,0.90,60
71,127,20,47,1.10,54
83,138,19,46,1.16,67
62,105,22,41,0.97,59
55,146,17,44,0.86,64
128,217,13,50,1.16,56
130,217,21,56,1.30,57
22,108,5,25,0.48,67
56,73,10,38,0.83,16
30,32,5,29,0.78,33
42,75,4,30,0.76,50
65,129,15,41,0.97,46
97,155,13,50,1.12,51
122,181,15,67,1.37,32
97,153,15,52,1.20,61
119,178,14,61,1.24,60
56,118,14,57,1.10,56
41,92,18,48,0.91,63
58,114,17,44,0.89,88
48,224,6,28,0.77,65
43,76,5,29,0.67,41
89,103,4,40,0.99,9
67,78,6,31,1.10,35
104,134,11,36,1.06,68
74,191,9,44,0.87,49
50,185,10,44,0.78,47
51,139,11,54,0.74,47
55,126,17,49,0.84,67
109,178,19,58,1.18,75
60,134,12,53,0.95,48
36,139,19,47,0.75,52
40,121,12,51,0.80,66
60,149,20,47,0.98,89
70,160,9,38,0.90,84
42,130,7,41,0.82,38
58,221,10,38,0.62,61
60,180,14,46,0.85,76
70,256,14,45,0.81,62
82,251,6,33,0.90,60
46,166,3,19,0.51,73
46,166,3,19,0.51,73
50,206,2,18,0.44,93
36,96,5,39,0.59,53
42,120,5,49,0.74,59
51,138,7,54,0.85,65
75,229,5,42,0.67,57
97,251,14,55,0.87,34
56,115,5,33,0.96,54
20,49,2,23,0.53,58
25,80,3,25,0.43,67
30,90,4,36,0.50,60
45,110,6,48,0.61,63
49,118,7,49,0.72,68
53,135,8,50,0.82,91
57,146,8,59,0.92,89
43,94,5,53,0.80,38
30,75,4,27,0.60,53
47,77,4,27,0.68,60
38,54,3,35,1.43,34
16,34,3,27,0.62,44
19,37,3,29,0.58,39
24,66,4,33,0.60,42
28,81,5,39,0.55,56
40,95,7,46,0.72,55
37,113,4,30,0.53,73
45,129,4,32,0.50,49
33,92,3,22,0.45,78
37,126,5,31,0.47,77
40,116,7,39,0.58,90
54,142,10,66,0.88,46
42,121,5,43,0.72,32
20,60,3,29,0.45,66
20,59,4,29,0.52,82
39,85,8,45,0.76,31
34,54,3,35,0.81,36
29,54,4,37,0.80,23
14,51,4,28,0.56,52
25,90,6,37,0.59,64
38,134,7,46,0.73,85
47,150,9,57,0.88,73
40,111,7,42,0.73,97
47,118,7,39,0.73,96
43,117,4,25,0.53,54
35,104,3,34,0.57,48
46,99,2,26,0.65,47
26,44,2,22,0.78,43
33,83,2,22,0.71,51
38,106,3,22,0.41,65
26,77,5,30,0.49,76
34,102,7,38,0.64,88
31,79,4,34,0.71,66
81,257,3,24,0.49,57
56,195,3,26,0.46,52
41,136,5,35,0.52,53
30,96,5,34,0.50,72
31,94,7,40,0.58,88
30,88,6,37,0.56,97
42,92,6,46,0.72,61
33,62,5,27,0.62,87
29,78,4,35,0.53,70
22,65,4,28,0.44,78
25,77,7,35,0.56,85
36,106,8,34,0.64,95
35,95,3,16,0.41,82
14,24,3,17,0.42,76
17,42,3,25,0.53,63
24,56,4,31,0.56,81
23,66,4,29,0.52,91
