PM2.5,PM10,So2,No2,Co,O3
15,39,10,22,0.70,36
26,49,11,27,0.85,20
12,18,9,15,0.68,40
12,28,8,11,0.61,47
18,36,10,16,0.73,34
15,41,8,13,0.67,47
12,46,8,10,0.58,60
15,27,9,11,0.64,65
17,32,11,14,0.69,64
17,34,10,16,0.72,64
22,34,9,19,0.78,53
32,56,13,27,0.85,30
29,44,10,20,0.72,42
28,47,10,14,0.66,57
34,43,14,16,0.68,60
38,61,13,15,0.70,78
37,56,14,18,0.76,64
38,63,17,20,0.72,54
29,41,14,16,0.58,59
27,40,11,16,0.56,62
23,40,10,14,0.53,67
32,52,12,17,0.60,61
26,43,12,16,0.59,68
26,46,13,15,0.58,71
18,35,11,10,0.54,82
33,54,12,15,0.59,95
26,48,13,13,0.51,85
19,38,12,11,0.47,83
24,41,13,13,0.50,80
23,44,14,11,0.49,85
30,49,13,14,0.56,87
41,66,15,19,0.70,69
44,64,13,14,0.65,89
49,74,9,13,0.64,88
40,66,10,9,0.53,97
48,73,10,13,0.63,90
47,73,11,11,0.64,100
47,71,10,9,0.65,101
34,62,11,7,0.66,92
26,50,11,5,0.64,94
35,57,7,8,0.66,95
44,64,8,9,0.70,96
32,50,8,10,0.71,83
36,48,9,9,0.75,92
27,42,8,6,0.66,88
18,29,8,2,0.50,86
46,59,25,4,0.51,83
24,41,11,6,0.50,87
21,38,8,5,0.58,99
27,46,9,5,0.65,109
33,50,9,5,0.72,113
34,56,10,7,0.74,107
25,46,8,7,0.60,88
33,65,10,9,0.45,97
40,82,7,9,0.40,98
47,85,10,12,0.46,99
48,92,10,14,0.50,99
23,40,9,9,0.40,90
20,41,12,13,0.46,79
26,48,10,10,0.51,86
38,61,8,12,0.56,86
35,61,8,11,0.61,84
33,55,8,11,0.63,84
38,82,9,14,0.64,88
38,70,8,14,0.66,100
39,57,7,12,0.66,103
29,56,9,15,0.61,95
34,68,9,17,0.65,107
54,85,11,18,0.76,110
53,81,9,16,0.78,114
46,74,10,18,0.77,97
37,61,6,14,0.69,97
42,69,7,17,0.72,100
33,59,5,12,0.74,101
47,83,6,16,0.90,98
71,93,7,12,0.92,109
45,71,6,12,0.76,92
26,58,9,14,0.72,94
26,62,9,14,0.78,103
22,59,6,12,0.71,106
56,91,7,15,0.89,122
59,89,7,15,0.98,115
48,84,7,13,0.85,119
46,86,6,12,0.84,120
45,86,6,14,0.90,117
69,91,6,23,1.16,78
28,39,6,12,0.91,90
30,54,6,12,0.84,94
44,82,6,13,0.78,111
36,84,5,15,0.65,100
37,84,5,14,0.65,117
35,86,6,16,0.65,115
30,76,6,16,0.65,116
45,69,5,11,0.80,124
44,72,5,18,0.82,108
44,72,5,18,0.82,108
50,72,5,15,0.87,107
14,24,5,7,0.66,82
25,47,6,13,0.76,79
36,56,7,16,0.88,75
26,48,12,12,0.89,94
