PM2.5,PM10,So2,No2,Co,O3
90,162,89,68,3.13,21
20,64,12,17,0.83,51
29,64,25,37,1.46,30
32,70,33,47,1.36,22
50,95,30,47,1.94,16
63,110,37,53,2.34,10
23,62,18,19,1.09,49
21,112,26,25,1.32,47
19,70,16,19,0.93,62
29,69,27,29,1.24,55
33,67,37,44,1.53,41
72,124,42,65,2.34,15
91,150,52,75,2.51,14
82,143,58,71,2.36,21
76,170,50,58,2.40,29
54,208,34,56,1.76,26
41,127,41,39,1.44,42
44,110,40,54,2.04,25
44,92,43,59,1.84,28
53,101,42,59,2.32,25
53,114,33,49,1.79,32
9,33,8,10,0.57,66
18,38,23,24,1.18,51
37,64,26,38,1.48,39
23,49,19,33,1.10,47
52,98,49,61,1.70,14
55,136,24,34,1.16,42
11,63,7,12,0.64,73
17,44,16,25,0.95,61
37,89,40,43,1.82,43
58,167,41,55,2.04,34
32,111,12,23,0.92,61
16,36,12,24,0.83,57
33,61,21,34,1.29,45
36,62,27,39,1.47,48
28,56,19,36,1.09,47
34,65,31,37,1.32,50
18,94,17,27,0.91,71
57,210,42,54,1.91,38
43,259,8,11,0.64,79
14,50,10,13,0.72,71
17,110,8,11,0.66,72
31,100,45,38,1.84,50
57,125,52,53,2.44,39
21,38,16,20,1.00,65
53,83,50,44,2.05,46
110,173,54,43,1.88,59
75,129,54,53,2.96,41
60,199,29,35,1.40,62
23,57,12,16,0.95,75
18,37,16,17,0.81,75
39,80,40,41,2.01,53
40,76,36,44,1.62,50
45,81,30,41,1.62,48
37,64,33,44,1.61,46
49,91,37,61,2.08,38
61,140,44,52,1.95,44
50,103,49,62,2.05,35
50,142,25,41,1.82,52
24,46,28,32,1.18,65
81,150,56,64,2.29,41
106,321,28,39,1.52,56
24,122,13,25,0.78,65
29,75,37,45,1.46,47
51,111,31,47,1.68,50
27,114,16,17,0.88,69
22,44,18,37,0.97,55
49,106,45,57,1.51,51
46,100,25,49,1.48,58
78,151,45,76,2.30,45
105,227,47,80,2.53,40
102,300,43,68,2.24,41
72,326,25,42,1.70,48
29,161,14,21,0.96,82
50,131,30,44,1.38,64
54,71,17,32,1.30,62
88,120,23,46,1.91,52
32,59,18,40,1.46,60
54,92,27,55,1.60,47
63,97,20,40,1.52,66
30,64,20,39,1.16,61
25,70,12,37,1.07,56
26,55,24,45,1.28,55
60,111,31,60,1.67,61
53,150,33,62,1.55,54
74,243,61,65,2.27,33
92,570,19,41,1.22,49
66,347,25,31,1.14,86
85,288,24,32,1.13,89
73,230,52,51,1.50,52
53,163,29,53,1.26,56
97,521,12,27,0.91,63
24,97,12,17,0.88,76
29,58,22,32,1.20,45
45,324,9,14,0.67,74
45,324,9,14,0.67,74
13,89,6,8,0.50,99
31,129,42,39,1.29,62
55,174,33,44,1.23,59
98,394,33,52,1.33,45
88,381,9,14,0.61,86
22,65,18,42,1.02,55
37,118,19,39,0.91,71
75,428,5,12,0.45,99
38,254,6,12,0.46,99
21,57,18,38,0.81,71
30,84,17,49,0.74,76
42,116,24,58,0.98,76
52,144,32,59,1.17,69
42,155,23,27,0.68,122
40,112,14,26,0.65,104
25,62,10,18,0.59,102
24,47,11,21,0.62,77
14,38,6,10,0.27,111
30,50,24,34,0.89,76
40,78,22,47,0.82,66
28,77,9,37,0.56,70
26,65,18,43,0.70,68
41,97,21,52,0.72,84
108,488,10,26,0.48,82
31,165,20,23,0.54,78
20,88,7,9,0.41,90
19,52,16,30,0.68,77
23,63,19,34,0.66,83
40,140,27,34,0.70,100
44,213,10,18,0.51,93
25,97,19,40,0.86,65
36,100,16,45,0.73,94
52,113,18,44,0.79,102
40,99,15,30,0.79,107
40,82,10,28,0.73,93
25,56,11,24,0.69,111
31,107,12,44,0.66,71
58,155,29,64,1.00,69
57,157,21,48,0.85,101
36,99,13,42,0.73,125
28,139,4,11,0.35,91
26,72,13,18,0.56,96
16,49,8,26,0.44,111
32,61,17,40,0.93,77
32,55,13,22,0.93,93
31,79,6,21,0.88,92
65,322,13,29,0.64,80
32,80,25,55,0.97,66
32,74,12,46,0.59,112
40,110,22,53,0.87,102
105,455,17,22,0.84,90
44,131,36,43,1.30,70
20,95,4,11,0.42,92
11,29,6,22,0.65,84
20,55,9,39,0.79,76
24,72,12,38,0.69,103
39,102,19,37,0.82,158
60,174,15,31,0.72,122
36,190,8,15,0.49,92
34,116,27,43,0.96,67
31,90,25,46,0.90,81
28,118,5,12,0.41,89
29,136,6,9,0.42,88
20,40,11,22,0.64,87
23,59,25,37,1.05,83
26,87,20,43,0.73,72
25,107,10,34,0.60,80
22,79,12,32,0.62,79
10,35,6,11,0.40,99
18,55,16,34,0.71,95
26,81,18,43,0.77,116
38,81,22,41,1.03,111
24,36,10,17,0.72,156
37,80,18,29,1.14,103
14,29,8,17,0.49,117
15,51,11,33,0.58,93
26,68,22,38,0.91,100
32,52,14,25,0.82,132
39,87,15,44,0.80,115
26,56,13,27,1.06,114
28,52,12,26,0.86,117
21,50,10,28,0.70,107
13,41,4,12,0.38,79
11,30,11,21,0.62,83
20,58,14,40,0.75,83
20,60,14,32,0.72,108
33,76,18,27,0.98,127
34,51,10,26,1.25,108
63,89,11,22,1.11,129
28,54,13,35,1.04,113
29,67,14,45,0.99,108
35,81,15,44,1.03,102
34,52,8,24,1.00,117
31,62,12,27,0.97,101
27,59,19,28,0.86,118
17,43,10,20,0.70,111
19,34,5,20,0.94,75
23,49,9,21,0.81,112
27,71,12,21,0.80,124
22,44,12,21,0.74,111
38,69,9,23,0.94,87
33,75,8,19,0.85,79
35,79,12,28,1.07,75
31,60,8,19,0.81,98
34,59,6,29,0.94,77
32,53,4,29,1.01,55
26,48,14,31,1.23,104
31,60,8,33,0.94,90
31,50,6,27,1.08,82
13,21,4,15,0.66,116
13,32,8,21,0.76,102
15,38,17,29,0.88,91
40,77,16,32,1.03,113
46,80,8,22,0.98,122
53,86,10,26,1.09,123
51,85,9,25,1.04,120
39,75,12,30,1.06,108
36,66,9,21,0.90,105
37,72,8,23,0.93,104
46,78,11,24,1.55,118
47,82,13,26,0.89,121
33,66,9,22,0.85,110
30,56,8,17,0.85,105
13,25,7,20,0.79,90
20,42,8,29,1.14,90
22,47,9,32,0.86,91
27,53,8,33,0.92,87
28,45,10,25,0.78,116
24,52,20,43,1.14,87
26,62,11,32,0.84,103
20,49,10,27,0.79,101
15,41,13,29,0.61,82
22,72,16,28,0.69,95
17,28,10,26,0.74,86
24,52,15,36,0.97,89
23,53,14,32,0.74,91
27,65,11,32,0.88,82
19,45,21,31,0.79,68
29,60,19,32,0.84,85
26,50,15,33,0.82,94
36,72,22,36,0.85,78
45,84,17,30,0.93,99
16,47,17,32,0.64,82
22,39,12,18,0.74,96
21,66,19,40,0.94,69
16,26,5,17,0.38,60
17,35,21,32,0.80,35
24,65,21,32,0.67,52
9,48,6,10,0.31,55
7,20,9,20,0.38,44
21,45,20,41,0.81,33
28,64,20,41,0.85,48
30,55,23,47,0.84,47
33,56,17,39,0.83,50
26,58,16,35,0.72,58
30,57,17,33,0.70,84
26,46,12,26,0.64,52
6,13,6,12,0.35,58
15,39,23,37,0.84,41
31,72,24,59,0.96,15
38,83,25,53,1.12,31
40,88,31,60,1.07,33
36,142,15,26,0.51,63
10,56,11,22,0.47,38
15,44,12,30,0.50,33
12,35,11,30,0.55,42
21,51,21,35,0.73,48
37,61,24,28,0.87,67
31,51,14,31,0.85,53
19,50,12,30,0.67,47
20,71,13,38,0.70,29
5,17,7,12,0.34,59
6,17,7,15,0.39,42
14,30,13,28,0.58,42
20,42,17,36,0.70,46
34,68,22,48,0.99,41
47,84,36,66,0.92,45
21,63,13,28,0.53,53
10,24,11,22,0.50,43
27,60,24,44,0.82,30
17,50,19,28,0.69,42
11,26,12,24,0.54,45
14,37,11,30,0.60,39
29,59,19,44,0.96,31
61,109,26,64,1.44,31
80,122,30,66,1.33,46
81,113,17,57,1.15,42
39,66,13,40,0.95,41
31,64,19,44,0.95,43
58,98,24,50,1.08,42
48,73,23,47,1.08,38
62,75,20,37,1.13,41
59,75,16,42,1.01,41
54,107,20,38,1.06,35
38,131,28,39,1.03,35
38,80,25,54,1.39,25
60,109,34,60,1.58,25
38,126,15,32,0.87,40
10,34,9,22,0.51,47
35,68,33,41,1.25,36
8,44,7,16,0.42,63
13,31,12,28,0.65,49
40,81,33,53,1.28,30
47,132,28,50,1.17,34
62,147,34,58,1.49,24
63,121,39,48,1.05,72
48,95,26,39,0.94,45
9,18,10,21,0.62,39
25,50,18,39,1.19,26
33,62,29,49,1.36,23
56,91,32,55,1.63,14
58,98,43,64,1.66,12
36,82,26,46,1.16,28
69,121,56,67,2.10,8
66,103,37,59,1.61,17
96,149,42,63,2.23,14
81,132,39,70,1.77,17
46,100,22,43,1.14,26
6,23,8,13,0.41,55
27,55,38,46,1.32,24
33,72,39,49,1.45,23
35,87,40,49,1.24,31
51,115,42,65,1.88,15
28,73,16,33,0.90,39
27,60,32,42,1.27,30
41,82,37,58,1.48,20
44,86,27,46,1.42,27
67,114,69,72,2.59,10
72,130,49,63,2.07,12
115,448,40,45,1.60,29
