PM2.5,PM10,So2,No2,Co,O3
68,109,5,36,1.04,33
79,125,6,37,1.22,16
17,26,2,20,0.86,46
17,23,3,19,1.14,30
32,34,4,20,1.09,19
13,21,4,19,0.92,26
22,32,4,22,0.88,44
43,62,5,27,0.89,54
45,75,4,32,0.83,36
73,105,4,37,1.00,37
71,114,5,43,0.98,42
82,124,5,45,0.99,51
75,117,6,46,0.98,41
94,137,7,45,0.99,33
103,154,5,44,1.31,24
72,102,4,34,0.98,34
65,94,5,37,1.06,38
66,95,5,36,1.05,22
48,74,6,32,0.91,29
50,80,6,38,0.98,28
65,93,6,37,1.09,18
58,84,6,34,1.13,28
72,111,6,39,1.36,12
28,41,3,24,1.07,29
20,27,3,17,0.94,43
38,46,3,18,0.89,48
35,45,3,20,0.90,39
49,66,4,30,1.04,38
60,80,4,32,1.05,51
70,95,4,35,1.14,41
21,50,5,23,0.44,68
60,106,5,39,0.85,30
46,89,5,33,0.83,47
44,84,5,33,0.81,49
65,103,4,32,0.96,37
61,93,3,26,0.95,24
68,93,5,32,0.90,33
70,101,5,37,0.98,27
76,108,5,36,1.00,36
63,93,4,33,0.92,38
35,124,4,24,0.55,56
53,157,5,26,0.74,39
63,132,5,25,0.93,30
56,97,5,27,1.06,33
62,94,5,28,1.24,32
99,138,6,25,1.40,29
115,152,7,20,1.25,32
61,84,5,20,1.13,34
39,60,8,23,0.96,61
29,44,5,20,0.87,49
33,46,4,22,1.01,30
18,29,4,18,0.81,46
15,23,4,16,0.72,41
23,35,5,19,0.91,33
25,42,5,22,0.98,37
29,47,6,25,0.99,41
42,66,6,35,1.14,26
43,66,4,24,0.95,40
44,66,5,26,0.91,43
38,62,4,27,0.87,55
20,34,4,22,0.70,55
32,53,4,25,0.90,46
22,41,4,19,0.70,51
10,21,4,21,0.79,40
5,11,4,15,0.72,37
10,19,3,17,0.68,44
19,41,3,22,0.67,41
31,69,4,29,0.73,48
36,78,4,33,0.78,40
30,57,4,28,0.76,51
44,77,4,33,0.89,50
48,79,4,34,0.89,50
64,99,4,34,0.96,53
62,97,4,33,1.02,64
49,75,4,32,0.95,44
17,25,3,19,0.71,48
