PM2.5,PM10,So2,No2,Co,O3
79,102,11,22,1.18,90
69,78,10,20,1.18,94
60,75,13,21,1.11,90
32,53,9,15,0.87,75
38,48,7,21,1.41,32
30,31,8,23,1.59,9
23,30,6,28,1.34,14
13,18,6,15,1.21,29
45,42,8,14,1.44,61
42,55,10,19,1.27,55
29,47,11,18,0.88,67
31,46,12,19,0.72,81
43,65,13,21,0.83,94
52,79,13,25,0.87,89
67,84,12,23,0.91,99
44,63,9,20,0.86,89
84,110,12,32,1.13,71
98,119,13,29,1.11,120
82,101,14,26,1.04,135
89,90,14,24,1.09,98
42,54,8,17,0.88,86
97,119,10,26,1.48,73
89,104,12,23,1.23,101
40,62,9,13,1.12,120
38,61,6,11,1.02,97
39,55,8,19,1.04,51
61,57,10,26,1.23,23
26,26,8,18,1.29,16
32,29,7,11,1.32,57
64,41,8,14,1.49,57
52,47,8,12,1.46,75
53,65,11,18,0.93,94
62,81,12,19,0.77,91
51,71,13,16,0.79,105
53,83,13,18,0.76,97
47,68,12,17,0.69,90
57,74,12,22,0.80,95
96,112,17,27,0.98,70
111,124,14,27,0.97,87
95,103,9,31,0.89,68
74,78,7,20,0.82,51
71,80,7,16,0.86,56
100,119,9,18,1.00,69
92,122,10,21,0.97,96
55,85,7,16,0.87,104
50,73,7,12,0.80,79
136,195,14,14,0.87,48
54,72,8,14,0.87,51
39,54,6,10,0.77,72
34,43,6,10,0.67,70
32,42,6,10,0.72,59
44,49,6,15,0.89,31
18,15,6,11,1.05,23
21,23,6,12,1.23,29
35,42,6,14,1.12,22
21,28,7,12,1.11,28
25,36,7,10,0.93,67
26,41,7,9,0.69,81
36,52,6,12,0.74,75
33,42,6,15,0.72,55
30,44,6,9,0.64,58
28,45,7,10,0.61,48
28,48,7,12,0.64,43
24,45,7,14,0.61,47
30,44,7,11,0.65,52
30,51,7,12,0.88,67
12,17,7,12,0.92,44
22,45,8,17,0.87,76
43,66,10,18,0.91,128
34,55,8,13,0.84,115
27,51,7,14,0.77,100
29,50,7,13,0.77,82
30,45,8,14,0.75,70
24,38,11,19,0.74,73
42,57,9,24,0.83,76
22,37,8,10,0.65,91
21,40,8,11,0.65,91
19,34,8,13,0.66,75
10,22,9,11,0.93,83
22,37,9,12,0.87,100
48,69,13,20,0.98,113
46,73,11,16,0.90,125
28,71,8,11,0.77,109
30,67,7,12,0.74,97
33,63,9,14,0.76,83
39,63,9,13,0.76,75
34,59,8,13,0.77,97
31,50,9,8,0.73,104
26,44,9,9,0.76,76
27,45,9,9,0.79,102
27,47,9,13,0.82,75
32,56,11,19,0.84,77
28,46,9,12,0.87,86
23,44,9,9,0.79,71
23,43,8,8,0.83,67
23,43,8,8,0.83,67
26,49,9,12,1.07,46
38,98,10,14,1.08,57
47,134,13,21,1.22,84
44,106,12,20,1.27,114
23,57,8,10,1.15,91
16,38,8,10,0.91,65
19,39,9,13,0.80,52
19,43,8,16,0.71,48
26,50,10,15,0.78,49
21,36,8,11,0.77,68
34,58,10,17,0.79,63
41,82,12,20,0.88,89
40,65,10,20,0.92,99
23,39,7,9,0.78,102
16,38,7,7,0.64,89
13,36,6,9,0.61,73
14,34,7,9,0.55,65
20,38,7,11,0.51,63
27,46,9,14,0.71,56
22,34,10,17,1.01,46
27,43,7,18,1.18,30
15,23,7,13,1.15,34
26,42,8,12,1.08,65
18,33,6,9,0.80,69
15,29,6,10,0.71,64
12,23,7,11,0.63,48
15,29,7,11,0.59,53
19,33,8,12,0.68,78
12,24,6,9,0.75,52
9,24,6,6,0.69,57
7,22,6,7,0.68,63
11,32,6,8,0.70,75
10,30,7,11,0.75,86
16,34,8,14,0.84,71
10,26,7,11,0.71,73
9,27,7,9,0.62,52
8,23,6,8,0.56,63
6,20,7,11,0.62,73
8,24,7,9,0.61,65
9,30,6,8,0.56,49
10,32,7,11,0.63,60
11,37,8,11,0.67,57
14,35,8,11,0.65,62
11,32,7,9,0.69,61
10,28,7,11,0.56,45
13,30,7,11,0.56,58
10,23,6,10,0.53,59
9,22,7,10,0.56,65
7,20,6,9,0.58,65
7,25,7,8,0.61,75
8,30,6,8,0.61,76
8,27,6,10,0.63,78
10,27,7,11,0.77,75
9,19,7,10,0.69,65
11,23,5,8,0.62,48
11,25,6,10,0.60,43
13,25,6,11,0.64,46
16,30,6,13,0.72,55
16,35,7,10,0.74,72
13,30,7,12,0.74,60
21,36,7,12,0.93,70
26,39,7,11,0.87,73
20,30,7,10,0.83,68
13,25,6,8,0.71,93
22,39,7,8,0.69,108
28,42,7,10,0.79,105
22,34,6,11,0.77,81
8,35,6,7,0.61,55
18,41,7,9,0.90,84
20,35,6,10,0.94,80
25,41,7,11,1.03,89
21,32,6,11,1.07,99
21,44,6,11,0.94,109
14,31,5,9,0.83,72
11,32,5,7,0.78,64
14,43,6,8,0.82,66
14,41,6,8,0.67,65
12,35,6,8,0.59,71
13,36,6,8,0.61,76
18,37,6,9,0.67,64
13,28,6,10,0.67,60
17,35,7,11,0.68,49
10,19,8,12,0.80,42
10,25,6,11,0.84,46
11,32,6,9,0.74,60
11,35,6,9,0.79,67
13,38,6,11,0.71,73
13,37,6,7,0.66,74
11,35,7,6,0.64,69
12,39,8,6,0.64,68
13,35,6,6,0.62,69
11,34,7,8,0.70,71
19,34,8,13,0.84,63
20,32,7,13,0.83,50
12,26,7,12,0.84,42
15,27,7,12,0.84,45
20,37,8,13,0.81,73
17,32,7,11,0.68,59
10,27,7,11,0.78,47
8,15,7,10,0.87,42
6,14,7,10,0.85,41
8,16,8,9,0.81,40
16,35,8,12,0.87,66
15,28,7,11,0.84,63
8,20,7,10,0.68,43
9,20,7,12,0.76,47
4,12,7,9,0.82,45
7,18,7,10,0.86,45
11,19,7,8,0.84,47
12,25,7,8,0.90,49
10,30,7,8,0.81,59
8,21,7,8,0.67,56
7,20,7,8,0.70,47
6,17,7,8,0.68,42
7,20,7,9,0.74,41
6,24,7,7,0.72,50
7,27,7,9,0.75,47
9,33,7,7,0.65,52
10,33,8,10,0.70,50
12,37,6,9,0.65,62
14,37,6,10,0.69,57
16,34,6,11,0.73,57
18,35,7,12,0.75,58
16,32,7,10,0.70,44
20,39,8,13,0.89,70
31,54,8,15,0.91,92
36,57,8,15,0.83,90
23,39,8,13,0.82,66
19,34,7,11,0.87,72
20,40,7,11,0.96,87
16,34,6,11,0.91,103
15,26,6,11,0.89,73
9,19,7,8,0.84,66
11,23,7,15,0.90,50
13,24,7,11,0.88,59
9,21,7,11,0.83,58
11,28,7,10,0.74,69
17,31,6,12,0.83,65
19,34,7,12,0.84,71
10,24,10,11,0.69,69
20,35,7,9,0.88,89
29,45,7,10,1.07,88
6,20,7,10,0.84,54
11,32,7,9,0.74,54
7,15,6,10,0.72,33
12,25,6,10,0.75,47
10,21,6,10,0.73,43
8,21,5,9,0.66,52
12,23,5,10,0.63,52
16,31,6,13,0.87,50
18,34,7,9,0.94,70
26,49,8,12,1.00,78
40,64,10,15,1.09,86
27,45,7,16,0.99,77
37,62,9,18,1.06,88
33,50,7,13,0.83,69
13,29,7,11,0.72,46
30,50,7,12,0.80,64
39,58,7,10,0.85,77
15,30,5,5,0.77,56
7,21,5,6,0.84,34
10,25,5,8,0.76,41
11,27,6,12,0.74,44
15,29,6,15,0.70,55
22,42,6,19,0.83,61
15,30,8,14,0.72,39
15,31,7,13,0.79,45
12,23,6,8,0.73,45
10,19,7,7,0.64,45
15,33,6,8,0.68,65
18,29,6,11,0.93,50
25,40,7,11,0.96,79
37,56,10,14,1.00,92
36,57,10,14,0.99,99
37,64,12,15,0.99,111
42,75,12,16,1.03,128
43,72,13,17,0.95,117
44,76,13,14,0.93,129
44,77,12,17,0.97,130
48,79,14,17,1.05,144
39,67,11,14,0.88,122
27,52,8,10,0.76,89
17,28,11,10,1.07,80
37,48,8,11,1.10,76
35,52,10,13,1.03,74
34,50,12,12,0.95,99
13,35,8,10,0.73,67
11,23,7,11,0.92,39
17,28,7,10,1.07,46
14,21,6,11,0.99,39
20,29,6,13,0.99,33
26,39,8,13,0.88,66
25,46,7,10,0.85,81
17,42,7,8,0.76,71
14,35,7,11,0.80,56
19,33,7,14,1.18,24
31,50,8,13,1.14,71
20,37,6,12,0.85,76
19,33,8,11,0.89,62
29,47,9,12,1.11,62
35,59,11,13,1.00,92
36,63,13,17,0.97,96
32,59,14,16,0.86,93
28,55,14,14,0.73,101
31,57,15,16,0.70,108
42,76,15,22,0.90,108
56,82,15,22,1.08,101
37,55,10,17,0.98,81
35,50,11,13,0.93,90
19,37,8,9,0.78,66
23,43,11,13,0.86,62
26,46,10,13,1.09,57
35,56,11,17,1.08,67
38,54,11,14,0.97,77
24,48,9,12,0.87,70
29,48,10,17,0.93,51
40,56,10,18,1.03,70
28,43,7,13,0.76,82
14,27,6,11,0.68,57
15,33,7,12,0.79,32
24,40,7,15,1.18,19
24,38,10,11,0.94,36
20,32,7,14,1.17,25
37,51,10,13,1.11,59
16,29,6,10,0.95,42
26,36,7,10,1.07,65
41,55,8,15,1.03,70
54,68,14,21,1.18,86
60,71,10,16,1.17,75
54,66,11,19,1.15,74
66,77,11,21,1.25,71
62,70,12,21,1.26,62
50,60,11,17,1.03,68
34,50,9,12,0.84,92
22,35,7,10,0.84,68
20,51,7,8,0.73,74
14,36,8,7,0.65,59
23,42,7,14,0.75,57
30,45,9,18,0.83,45
22,39,7,10,0.80,66
22,34,6,18,1.10,17
9,11,5,16,1.01,14
7,6,5,15,1.33,14
16,15,5,15,1.32,15
14,17,6,14,1.28,17
20,24,5,12,1.13,31
48,39,7,13,1.21,39
36,33,6,12,1.15,35
43,52,6,15,1.08,31
33,43,6,13,1.03,40
38,58,9,19,1.00,69
45,66,15,24,0.94,81
53,84,10,26,0.97,70
31,49,10,14,0.67,66
17,35,7,12,0.54,55
35,45,7,18,1.32,24
23,30,7,17,1.09,20
29,29,6,14,1.19,27
28,28,7,13,1.25,33
