PM2.5,PM10,So2,No2,Co,O3
35,65,11,46,1.23,23
27,48,6,35,0.94,28
10,26,4,20,0.44,44
14,27,4,31,0.51,32
30,52,8,51,0.95,20
14,27,5,38,0.57,35
37,57,10,46,0.92,27
12,56,3,10,0.34,60
6,32,2,12,0.35,58
5,20,2,8,0.30,62
10,21,4,22,0.47,46
55,77,12,72,1.32,11
98,122,17,85,1.83,8
136,151,13,77,1.91,23
29,52,7,48,0.94,29
45,175,5,43,0.79,37
43,106,9,51,1.09,31
56,96,11,74,1.19,14
80,119,14,78,1.56,19
30,73,9,51,0.88,24
35,74,20,47,1.30,21
23,47,4,28,0.70,45
8,29,3,14,0.44,58
15,30,4,28,0.48,52
8,21,3,26,0.44,52
24,36,7,43,0.60,34
78,92,14,71,1.48,9
13,62,2,16,0.42,62
8,61,3,18,0.37,59
10,34,5,26,0.44,57
19,70,6,28,0.47,54
30,83,10,39,0.78,39
7,29,4,11,0.36,67
7,20,4,19,0.40,55
17,34,7,33,0.57,43
6,17,3,14,0.34,64
41,53,12,51,0.90,29
32,53,8,34,0.73,54
48,68,11,54,0.96,32
41,109,8,36,0.81,47
9,41,3,12,0.36,67
8,78,3,6,0.28,73
10,55,4,13,0.38,66
55,77,13,58,1.20,29
14,35,3,19,0.44,69
37,48,13,19,0.52,70
75,97,14,23,0.61,64
78,89,15,34,1.43,42
113,95,14,48,1.86,47
140,75,23,44,2.18,52
47,19,5,21,0.72,68
32,41,7,26,0.66,60
15,44,5,27,0.51,57
20,48,5,30,0.63,53
30,77,10,22,0.73,54
54,66,10,42,0.88,41
120,120,21,71,1.66,43
169,171,12,57,2.05,38
92,121,9,37,1.12,66
14,48,3,15,0.38,75
73,99,17,52,1.08,41
167,195,19,75,1.94,29
61,198,7,37,0.89,38
47,132,8,43,0.93,37
45,65,10,40,0.95,44
44,61,8,48,0.78,34
42,58,5,35,0.73,59
101,112,12,68,1.30,35
123,136,15,64,1.53,60
60,69,16,47,1.33,51
141,147,11,72,1.70,43
238,9,10,93,2.08,71
242,0,16,80,2.61,54
