PM2.5,PM10,So2,No2,Co,O3
67,109,16,29,1.12,114
72,116,22,39,1.20,84
62,104,21,44,1.11,65
55,66,16,38,0.94,35
73,88,15,43,1.13,19
25,20,10,30,0.81,28
18,17,10,34,0.97,23
18,17,11,25,1.04,21
30,41,14,22,1.00,49
22,40,19,28,0.71,53
22,42,16,26,0.61,70
23,45,15,21,0.53,81
41,66,17,32,0.68,72
43,68,20,38,0.76,67
51,76,21,44,0.95,64
50,76,20,39,1.03,71
73,101,24,50,1.36,68
82,93,22,46,1.14,82
87,63,16,50,1.24,41
61,71,17,41,1.09,71
70,81,16,35,1.13,96
83,99,18,43,1.40,73
48,61,12,32,1.12,92
37,54,13,28,0.82,91
31,50,12,29,0.82,81
34,54,13,30,0.74,49
24,42,11,26,0.64,65
34,36,10,30,0.81,23
10,16,9,20,0.75,22
24,26,12,26,0.88,11
14,15,12,23,0.91,18
31,42,12,23,0.86,47
43,59,15,31,0.90,27
39,54,14,24,0.71,49
55,79,20,32,0.77,57
57,73,18,26,0.74,67
50,70,15,34,0.72,72
68,96,16,48,0.97,49
60,83,16,33,0.96,60
58,71,11,20,0.98,101
69,19,7,15,1.13,81
50,53,6,10,0.83,72
42,59,7,8,0.89,87
46,103,9,10,0.84,104
56,99,8,15,1.12,101
80,100,8,17,1.41,76
76,79,8,10,1.23,64
48,46,6,7,0.93,86
35,49,7,8,0.97,98
56,76,8,13,1.42,77
58,61,8,14,1.39,63
39,40,7,11,0.99,68
22,18,7,10,0.97,42
19,24,7,9,0.98,53
45,62,10,18,1.06,94
60,71,10,29,1.19,56
33,41,9,17,0.84,72
40,57,11,21,1.04,95
47,65,8,29,1.36,62
49,67,11,32,1.34,73
45,61,12,24,1.13,90
78,94,14,25,1.25,73
78,95,12,30,1.34,22
46,71,13,26,1.48,35
25,56,9,19,0.81,85
26,45,10,20,0.84,86
12,12,8,16,0.76,36
21,35,11,14,0.70,84
55,75,14,27,0.86,106
43,60,13,29,0.83,99
45,67,16,32,0.93,88
55,80,20,38,1.16,80
91,125,27,70,1.52,42
135,142,24,66,1.60,36
81,70,11,32,1.10,86
31,46,8,17,0.75,104
39,59,14,26,0.99,92
65,96,19,48,1.61,47
19,38,7,20,1.04,51
14,26,6,16,0.78,78
35,57,13,29,0.83,80
57,86,15,35,0.97,114
53,96,15,38,0.93,93
51,89,15,32,0.90,95
57,92,13,32,1.01,85
60,65,12,19,0.91,109
43,44,12,19,0.89,113
46,68,13,30,0.93,87
38,67,12,22,0.80,84
31,62,14,24,0.77,83
45,76,15,23,0.81,97
68,114,17,26,1.01,115
61,103,18,26,0.92,70
46,79,13,21,0.87,62
50,81,15,23,0.95,60
50,81,15,23,0.95,60
39,69,11,19,0.94,41
27,86,8,12,0.62,86
37,97,13,21,0.66,107
55,109,15,33,0.96,112
51,92,13,26,0.91,96
44,73,12,24,0.91,64
40,67,14,26,0.92,40
42,70,15,25,0.94,32
34,59,14,26,0.93,28
13,27,7,16,0.85,38
32,44,9,25,0.91,30
39,56,9,21,0.92,85
45,73,11,21,0.91,132
45,80,14,25,0.84,137
50,86,14,26,0.89,91
44,72,14,22,0.85,92
48,81,14,23,0.89,76
29,55,11,18,0.78,51
26,44,8,15,0.83,62
41,58,8,21,1.01,77
47,73,10,18,0.96,137
62,93,14,24,1.17,139
47,71,11,18,0.95,129
53,83,14,22,1.06,123
47,82,13,24,1.04,64
30,56,12,13,0.81,49
30,55,10,14,0.79,54
33,58,10,19,0.91,83
31,59,11,20,0.86,120
24,52,12,16,0.74,109
27,56,10,15,0.80,56
17,26,9,20,0.79,34
17,31,8,17,0.80,80
21,43,8,19,0.85,98
25,53,10,20,0.67,121
35,66,11,21,0.74,124
40,74,15,27,1.06,76
36,65,11,19,0.92,76
30,54,10,14,0.90,74
20,43,10,13,0.80,55
25,50,14,20,0.92,43
20,43,9,12,0.80,51
25,50,9,12,0.78,69
29,56,10,14,0.79,87
31,55,10,12,0.79,71
26,50,10,13,0.82,60
22,42,9,11,0.80,67
31,56,11,13,0.90,108
30,64,8,11,1.09,114
27,54,10,11,0.80,80
21,35,8,10,0.77,58
20,40,8,8,0.81,73
17,39,9,10,0.89,120
36,68,12,23,1.17,123
41,81,16,33,1.26,78
36,60,13,27,1.17,67
23,40,6,14,1.01,89
26,46,8,13,0.93,134
36,59,10,15,1.02,146
35,60,11,14,0.87,119
23,37,9,15,0.84,70
17,25,8,22,0.89,29
16,30,7,13,0.84,64
16,32,8,13,0.82,69
13,23,5,11,0.73,47
16,31,7,17,0.85,53
19,45,7,13,0.82,111
25,48,10,17,0.90,122
37,56,11,22,0.94,118
42,60,9,22,1.05,78
21,30,6,16,0.91,60
21,46,9,16,0.79,103
24,45,9,17,0.75,84
17,21,6,13,0.88,57
21,37,6,21,1.02,43
19,41,7,20,1.00,41
20,44,6,24,1.04,34
20,39,9,31,1.18,27
16,30,8,20,1.04,29
13,35,9,14,0.96,41
10,27,6,9,0.84,39
13,31,8,12,0.81,41
15,34,8,12,0.74,43
