PM2.5,PM10,So2,No2,Co,O3
93,142,26,33,1.10,49
129,180,49,45,1.72,30
108,147,26,35,1.34,37
30,41,25,24,1.59,16
14,20,14,22,1.24,16
15,18,6,22,1.18,12
17,24,19,18,1.29,10
25,30,21,20,1.32,38
41,50,25,19,0.99,63
39,57,30,26,0.81,56
50,72,30,31,0.84,54
53,80,24,37,0.85,56
79,114,33,52,0.97,37
112,142,42,42,1.03,35
122,159,33,51,1.11,41
148,191,34,55,1.40,21
88,121,33,50,1.39,25
118,167,28,52,1.39,39
80,103,25,35,1.28,41
69,92,30,32,1.46,42
70,91,27,27,1.30,30
49,70,28,31,1.18,44
100,132,32,39,1.42,25
71,96,17,35,1.33,24
53,81,20,37,1.55,11
22,30,25,22,1.14,21
21,27,16,20,1.14,19
19,26,28,19,1.29,32
62,69,21,18,1.13,66
95,108,16,17,1.24,70
72,83,14,18,1.02,72
58,75,15,22,0.82,81
48,66,16,20,0.68,79
37,65,17,18,0.55,78
37,59,13,15,0.51,74
39,58,16,18,0.57,72
73,98,26,42,0.97,53
103,135,31,43,1.13,39
75,100,20,30,0.95,72
107,141,15,55,1.29,44
104,118,14,29,1.20,55
87,115,19,21,1.10,73
83,134,10,20,1.03,83
97,146,17,28,1.19,64
93,122,11,28,1.18,65
58,77,7,13,0.90,80
158,185,39,19,1.18,43
90,110,13,16,1.07,56
48,60,6,9,0.72,71
45,52,16,14,0.92,38
44,59,22,16,1.21,26
24,31,22,13,0.98,38
14,19,23,13,0.89,36
34,44,17,19,1.06,49
47,53,5,23,1.32,23
36,41,9,15,1.14,39
52,70,9,25,1.06,53
70,94,7,33,1.12,36
45,61,5,26,0.91,47
56,74,6,25,0.96,42
45,59,7,16,0.80,48
47,62,6,16,0.80,50
42,59,5,12,0.78,71
37,50,6,19,1.02,53
38,54,8,17,0.93,51
22,31,22,19,0.97,26
15,24,15,13,0.69,58
31,62,8,23,0.76,84
63,102,13,46,1.05,58
73,110,11,46,1.03,66
95,135,10,52,1.13,45
80,105,5,42,1.06,30
37,51,3,27,0.84,37
36,53,4,26,0.84,48
63,92,12,42,1.13,37
48,68,7,31,0.94,45
28,41,4,14,0.75,69
23,34,16,18,0.92,41
19,29,21,17,1.02,64
33,50,9,21,0.85,78
72,113,28,42,1.17,59
84,142,18,47,1.18,68
80,137,15,46,1.03,50
58,76,8,24,0.92,36
36,53,15,24,0.99,36
53,81,16,33,1.11,54
98,135,16,51,1.36,11
71,80,12,31,1.10,31
36,55,12,27,0.92,63
62,94,20,38,1.08,40
104,136,24,35,1.25,53
80,116,14,31,1.03,74
47,81,9,26,0.82,82
51,80,8,24,0.82,71
49,73,7,14,0.76,63
49,73,7,14,0.76,63
21,47,21,17,0.97,51
58,167,32,23,0.88,63
65,151,17,35,0.93,56
62,134,16,38,0.90,82
48,89,6,21,0.81,77
44,66,5,27,0.84,33
45,70,5,24,0.89,39
52,79,6,24,0.93,46
23,36,9,14,0.80,49
24,54,15,15,0.71,75
43,128,14,24,0.72,70
68,163,18,41,1.00,70
66,134,14,44,1.08,70
59,93,8,37,1.01,56
26,34,3,13,0.86,57
23,33,3,11,0.82,52
27,39,3,12,0.79,43
44,60,7,24,0.95,24
17,27,4,11,0.92,68
23,33,7,13,0.96,53
30,43,14,20,1.06,28
28,46,19,21,1.02,52
53,81,11,31,1.18,49
29,43,5,20,0.91,39
27,37,5,16,0.74,37
22,36,4,17,0.70,44
40,66,9,35,0.93,16
30,39,6,13,0.83,67
45,65,6,22,0.91,62
25,40,5,16,0.70,46
18,29,4,10,0.58,51
16,26,7,11,0.65,66
25,39,11,13,0.85,74
29,39,7,15,0.75,76
20,31,8,17,0.89,59
34,50,10,24,0.92,33
19,31,5,19,0.71,42
25,40,9,19,0.81,51
21,36,6,18,0.69,54
17,31,5,10,0.56,62
21,37,5,11,0.57,70
22,38,5,12,0.62,68
28,46,5,13,0.69,88
26,42,5,13,0.69,82
27,44,5,14,0.68,82
26,39,5,13,0.67,76
25,40,5,13,0.69,76
32,54,15,19,0.99,78
29,49,7,17,0.78,61
15,30,4,9,0.63,56
18,35,4,14,0.73,57
22,39,14,22,1.01,38
37,60,24,22,1.29,73
52,82,12,36,1.20,48
25,38,5,16,0.77,55
22,39,10,18,0.80,46
19,28,16,15,0.90,37
21,33,20,14,0.91,41
33,49,23,17,1.05,59
23,35,16,14,1.01,38
18,32,15,12,0.87,70
25,38,11,12,0.85,70
21,30,7,11,0.89,56
20,33,13,17,0.98,39
28,46,20,20,0.97,52
40,65,8,16,0.91,97
49,85,20,25,1.08,107
49,62,10,25,1.04,46
22,35,17,19,0.91,61
36,56,17,22,0.92,61
29,45,6,11,0.81,92
36,60,9,21,0.88,81
26,43,5,17,0.80,101
30,53,6,19,0.82,98
16,29,4,10,0.70,68
19,38,8,11,0.70,65
19,35,3,12,0.76,55
17,32,3,12,0.75,52
11,20,4,17,0.85,40
12,25,4,16,0.83,34
13,25,3,13,0.74,37
9,20,2,10,0.66,42
11,22,3,11,0.63,46
11,24,3,14,0.64,46
16,30,4,13,0.64,57
16,30,3,13,0.63,51
17,34,4,15,0.65,50
19,36,3,14,0.65,53
16,30,3,10,0.62,59
16,32,3,9,0.63,65
20,36,3,11,0.66,68
23,42,4,16,0.70,61
24,36,5,19,0.85,40
19,29,4,12,0.68,49
22,39,9,16,0.75,54
20,39,8,20,0.67,61
35,69,18,30,0.89,64
49,92,20,35,1.09,88
32,54,6,13,0.69,109
15,27,6,13,0.63,49
12,25,6,10,0.61,39
14,33,6,17,0.61,40
29,61,17,23,0.85,56
35,61,11,20,0.76,59
19,35,6,14,0.62,57
33,62,9,23,0.79,74
44,69,10,18,0.86,91
41,68,13,24,0.98,66
21,36,7,16,0.75,56
20,32,8,12,0.75,43
10,20,3,13,0.73,48
15,32,5,16,0.77,47
13,29,5,13,0.69,45
15,31,6,14,0.76,42
17,34,9,14,0.83,48
16,34,6,17,0.78,39
14,28,4,13,0.74,42
16,34,5,15,0.71,41
15,32,4,13,0.71,38
16,32,5,16,0.78,33
18,39,11,18,0.87,39
27,51,9,15,0.88,58
28,53,9,18,0.81,51
30,56,9,20,0.84,54
34,59,13,21,0.95,57
32,56,15,18,0.82,71
36,60,12,14,0.85,88
35,57,15,19,0.99,59
37,57,16,18,1.08,66
44,75,20,24,1.10,77
43,73,15,25,1.19,58
