PM2.5,PM10,So2,No2,Co,O3
208,285,31,90,2.36,29
127,172,29,60,2.24,14
39,60,17,35,1.14,32
30,57,15,29,0.89,37
66,82,16,34,1.26,39
94,101,16,36,1.23,54
119,96,11,32,1.37,42
68,96,21,28,1.07,52
23,59,22,35,0.92,44
28,66,19,42,1.00,38
28,55,14,37,0.92,41
47,77,17,37,1.03,42
77,98,16,33,1.18,54
133,148,18,56,1.89,34
261,276,31,95,3.20,16
266,313,38,100,3.55,19
322,365,18,81,3.10,23
310,363,27,80,3.10,30
221,268,20,60,2.20,46
219,250,14,68,2.26,32
152,171,17,54,2.14,18
78,108,15,38,1.43,21
47,65,15,28,1.18,52
55,77,18,37,1.34,50
40,61,22,36,1.13,52
53,69,18,42,1.40,47
77,98,20,45,1.49,33
145,90,12,41,1.77,32
111,83,18,45,1.81,42
77,123,24,60,1.73,27
62,95,25,51,1.44,38
49,108,29,52,1.31,34
46,102,19,33,1.15,50
33,70,21,49,1.32,42
58,85,33,52,1.61,41
56,86,27,45,1.57,41
58,92,25,44,1.36,45
81,147,16,40,1.46,49
42,116,17,38,1.08,56
98,219,22,38,1.29,53
46,166,18,30,1.07,56
34,122,21,35,1.20,56
24,71,20,28,1.10,62
56,122,16,24,1.19,86
70,143,18,24,1.29,73
58,91,27,22,1.22,69
150,188,32,23,1.43,83
141,167,16,22,1.51,74
73,95,18,21,1.25,92
68,90,14,16,1.20,81
114,143,14,19,1.49,50
128,149,25,25,1.81,77
68,107,12,25,1.23,71
59,89,14,32,1.17,71
42,149,14,21,1.02,65
59,104,17,33,1.24,69
130,168,14,29,1.39,89
204,222,16,48,1.87,47
184,187,11,29,1.73,63
58,112,9,21,0.94,73
62,88,9,17,0.95,78
99,94,9,18,1.18,48
65,53,8,23,1.22,33
24,55,11,22,0.87,59
77,116,25,52,1.38,39
78,89,12,27,1.11,70
74,92,9,32,1.13,58
87,114,11,33,1.04,81
142,165,10,32,1.32,51
197,230,14,52,1.77,63
116,156,15,35,1.28,95
73,98,13,21,1.11,104
66,86,12,19,1.10,92
56,166,8,20,1.00,59
21,44,11,24,0.81,83
45,66,14,41,1.07,53
74,13,7,30,1.07,54
105,73,10,28,1.33,83
23,52,13,23,0.93,80
24,51,13,34,0.91,74
95,128,29,58,1.37,51
115,158,21,46,1.46,86
66,65,12,39,1.32,97
64,101,16,56,1.19,90
87,134,19,30,1.26,114
65,122,18,29,1.24,83
57,168,20,33,1.22,81
49,223,14,26,0.97,79
52,101,13,35,0.79,87
101,130,13,26,1.11,105
107,168,18,33,1.19,106
85,210,23,27,1.11,125
57,269,12,20,0.84,72
24,49,10,15,0.81,65
37,48,9,24,0.91,43
37,48,9,24,0.91,43
47,109,14,27,1.02,54
27,92,18,36,0.77,75
64,146,25,38,0.98,76
63,143,16,24,0.92,104
91,192,22,45,1.15,66
55,181,18,37,0.84,73
33,63,9,23,0.78,75
32,37,8,22,0.83,67
41,169,13,32,0.92,55
58,257,18,46,1.43,66
74,276,18,29,0.85,99
60,189,15,24,0.75,109
60,175,16,23,0.83,121
47,129,13,21,0.75,130
57,118,18,24,0.86,153
59,92,14,21,0.91,98
18,19,7,13,0.77,71
40,55,9,15,0.87,81
40,65,12,24,0.89,92
65,111,13,47,1.07,84
62,84,15,25,1.01,77
80,140,16,48,1.17,99
40,113,16,28,0.83,122
42,95,16,23,0.79,129
59,130,16,25,0.88,96
51,121,19,26,0.97,98
25,65,10,18,0.72,98
27,81,16,28,0.79,102
41,130,16,19,0.83,132
48,65,11,13,0.87,106
34,62,10,17,0.86,98
31,98,13,40,0.82,106
58,128,23,28,1.18,139
51,111,21,36,0.95,148
40,91,15,25,0.77,140
54,79,10,23,0.92,110
62,102,10,19,1.09,95
37,100,13,19,0.92,108
30,85,10,12,0.89,111
31,54,9,12,0.92,95
31,49,8,21,0.97,88
37,56,9,14,0.89,79
26,77,16,19,0.99,132
35,73,17,28,0.93,100
27,39,7,17,0.74,104
30,50,11,23,0.74,63
22,77,9,18,0.71,88
48,172,16,22,0.79,117
50,136,14,17,0.75,100
56,94,9,22,0.93,76
46,91,9,25,0.99,83
48,210,19,30,0.82,95
45,156,17,37,0.88,114
32,119,21,28,0.83,113
35,99,16,57,0.85,100
47,109,26,58,0.95,133
45,107,24,47,0.90,155
54,162,18,35,0.87,140
48,152,15,23,0.80,148
40,96,20,28,0.88,152
48,163,18,26,0.73,156
46,139,12,17,0.69,153
52,139,12,18,0.86,179
66,195,16,29,1.10,137
16,20,6,11,0.70,92
18,38,9,18,0.75,108
28,71,8,24,0.83,140
29,79,7,32,0.79,140
42,81,9,23,0.82,131
45,77,10,21,0.91,142
35,78,13,29,0.87,154
34,79,10,22,0.77,136
35,82,10,19,0.73,137
43,83,9,20,0.76,128
35,58,6,14,0.72,143
39,80,9,28,0.87,141
46,87,10,19,0.87,146
23,66,10,26,0.74,152
38,69,8,19,0.83,148
32,63,8,20,0.84,160
30,57,7,21,1.05,76
32,49,5,15,1.33,97
33,65,5,13,1.27,128
23,61,6,20,0.98,113
25,70,9,27,0.95,126
39,72,8,20,1.06,143
60,100,8,26,1.14,149
33,67,8,19,0.91,93
34,73,7,21,0.97,129
47,75,6,37,1.10,85
55,83,7,26,1.06,131
68,107,9,23,1.23,155
33,60,8,17,0.80,112
33,59,7,19,0.79,68
26,46,10,18,0.90,55
37,56,7,17,0.93,49
44,87,7,20,1.04,61
25,65,7,18,0.73,70
27,42,6,15,0.99,59
20,36,6,15,0.92,66
19,42,6,13,0.69,88
19,48,7,14,0.61,96
27,64,7,19,0.70,94
28,63,8,19,0.77,100
28,66,9,16,0.81,125
32,65,8,14,0.82,121
36,68,8,14,0.86,150
37,62,9,15,0.71,109
32,65,10,14,0.77,83
24,57,10,19,0.78,98
29,63,11,17,0.96,159
24,38,6,16,0.82,111
20,41,7,15,0.87,107
39,58,7,14,1.11,94
37,56,7,14,1.00,97
36,53,7,19,1.07,80
26,49,6,15,0.96,84
42,72,7,20,1.00,113
58,97,7,29,1.23,109
63,100,7,27,1.27,108
40,68,8,20,1.02,111
27,47,7,15,0.91,96
33,61,7,18,0.94,100
42,65,6,18,0.87,108
34,58,6,16,0.84,99
31,50,6,13,1.00,99
33,63,7,16,1.06,128
43,84,6,19,1.04,122
27,55,6,17,0.86,128
28,53,8,16,0.82,80
24,41,7,11,0.82,69
14,29,7,9,0.82,85
14,28,7,11,0.90,72
13,42,10,9,0.76,138
24,31,7,10,0.89,62
10,9,6,6,0.66,44
15,33,6,13,0.70,63
27,57,9,14,0.97,140
31,58,13,15,1.02,107
16,46,13,19,0.95,113
37,73,9,26,0.95,153
37,72,13,18,1.06,181
39,69,13,15,0.92,154
24,48,11,13,1.03,94
38,74,8,23,0.91,100
16,82,10,25,0.69,107
14,51,21,28,0.67,83
29,71,14,33,0.82,79
18,70,12,17,0.78,108
10,45,14,26,0.68,61
29,75,18,44,1.09,81
37,78,17,33,0.90,101
31,66,14,27,0.87,92
25,60,12,27,0.73,89
33,76,13,27,0.77,124
39,69,11,27,0.79,74
19,38,9,22,0.74,75
32,60,10,29,0.93,56
18,54,13,31,0.82,26
27,66,18,38,0.88,37
38,61,16,34,0.93,46
26,23,8,19,1.16,50
30,57,13,29,1.12,58
42,115,12,37,1.66,80
21,76,23,42,0.86,64
30,69,18,40,0.78,74
25,56,16,33,0.78,71
30,44,15,30,0.98,45
24,42,11,23,0.85,89
51,83,15,37,0.92,95
45,87,13,30,0.98,74
34,103,16,43,0.94,71
16,60,16,36,0.87,52
17,60,18,41,0.92,55
39,90,22,59,0.98,58
65,120,22,61,1.11,68
60,106,20,48,0.94,99
