PM2.5,PM10,So2,No2,Co,O3
55,96,20,53,1.25,23
120,172,21,56,1.74,30
103,129,16,40,1.58,49
36,58,18,23,1.07,55
45,48,13,20,1.13,70
46,49,9,28,1.17,60
55,54,15,35,1.31,39
32,46,12,23,1.02,71
23,44,13,29,0.90,60
30,51,13,34,1.00,53
35,59,20,36,0.84,49
61,79,14,40,1.12,46
97,122,20,52,1.40,24
95,119,22,49,1.49,27
121,147,19,49,1.49,22
87,104,19,46,1.22,44
78,100,20,49,1.20,40
111,141,23,48,1.29,31
64,94,27,47,1.13,50
49,76,21,45,1.04,51
57,86,26,52,1.12,45
77,116,36,46,1.23,51
102,123,11,41,1.63,39
80,100,14,34,1.35,40
71,146,20,26,1.24,62
68,82,17,27,1.20,63
52,67,25,25,1.09,80
74,85,21,36,1.45,54
63,73,23,31,1.35,51
48,59,21,34,1.17,56
27,60,27,24,0.87,65
40,69,32,41,1.04,41
38,73,16,32,0.99,48
28,50,21,31,0.88,46
32,51,27,35,0.95,44
31,56,21,32,1.01,54
42,71,24,36,1.06,53
58,100,23,43,1.25,49
71,111,24,41,1.38,43
87,148,25,51,1.53,45
58,245,17,26,0.99,68
45,164,16,25,1.02,58
30,74,19,28,1.05,55
36,71,17,30,1.21,60
45,70,21,27,1.17,68
80,124,15,22,1.32,79
96,117,19,25,1.39,74
117,153,10,24,1.41,54
73,95,9,20,1.36,44
41,52,11,17,1.04,54
52,61,10,17,1.12,43
37,46,13,19,0.96,59
20,33,10,21,0.88,57
25,45,12,25,0.95,53
49,81,16,27,1.13,56
65,124,22,28,1.17,66
75,107,18,33,1.29,74
94,112,12,44,1.48,45
44,57,14,27,1.12,61
44,57,9,26,1.21,50
42,80,18,29,1.13,46
33,53,19,26,1.08,35
43,60,20,30,1.18,31
31,56,7,22,0.92,67
28,55,7,24,0.88,68
20,31,9,20,0.75,67
40,60,8,20,0.88,64
85,110,11,31,1.02,67
74,100,13,33,1.07,56
74,110,14,36,1.11,71
68,102,18,38,1.12,72
64,94,19,38,1.08,75
73,106,16,34,1.11,78
74,114,15,25,1.05,84
30,75,8,22,0.79,75
36,51,9,31,0.94,58
32,38,11,34,1.06,32
37,49,13,32,1.24,35
55,75,12,30,1.22,83
39,71,15,31,1.00,75
41,78,13,36,1.03,68
51,92,14,33,1.07,75
65,110,14,32,1.16,88
64,100,10,30,1.11,96
48,78,12,29,1.10,72
35,78,12,32,1.04,70
39,78,14,32,1.01,80
54,96,13,25,1.06,90
67,137,11,28,1.04,92
63,107,12,29,1.04,94
36,89,11,25,0.88,75
35,91,11,26,0.87,72
40,83,12,22,0.83,97
46,150,7,20,0.89,61
23,44,9,18,1.01,46
23,44,9,18,1.01,46
39,126,7,12,0.82,86
26,68,12,21,0.90,81
30,75,11,24,1.01,82
39,88,15,31,1.12,82
50,108,12,24,1.12,92
63,158,16,30,1.28,80
34,66,10,16,1.19,106
10,20,9,19,0.97,62
21,79,9,16,0.77,73
31,108,10,18,0.79,82
58,129,14,21,0.86,87
37,103,14,23,0.91,91
53,112,16,21,1.01,98
57,120,13,22,1.10,98
45,92,15,24,1.04,84
24,43,10,15,0.97,56
22,42,10,20,1.12,48
17,33,10,22,1.20,59
33,53,9,19,1.03,63
25,42,8,23,0.93,62
21,45,11,22,0.83,64
19,44,10,19,0.69,86
34,60,13,22,0.80,90
26,47,11,17,0.74,75
22,44,11,16,0.74,88
52,77,13,21,0.95,74
44,76,11,16,0.81,92
51,87,13,20,0.91,110
40,69,12,27,0.96,69
21,38,9,18,0.91,57
18,35,9,17,0.79,67
19,45,10,18,0.75,68
25,54,11,20,0.75,82
35,65,12,19,0.82,110
38,65,15,19,0.86,114
30,48,11,20,0.89,68
18,40,11,16,0.74,70
21,49,13,18,0.72,84
39,72,16,19,0.90,89
40,68,13,15,0.86,93
31,54,13,16,0.78,75
41,67,13,14,0.84,81
16,32,12,14,0.83,92
11,22,11,12,0.96,71
9,19,8,12,0.88,74
9,20,9,14,0.78,51
31,86,10,15,0.66,67
31,91,11,16,0.72,70
42,112,15,21,0.92,91
38,70,12,25,1.07,54
58,173,11,12,0.85,55
43,127,11,13,0.76,71
33,101,12,15,0.82,60
31,82,12,18,0.81,55
31,69,14,17,0.81,50
24,45,11,15,0.78,106
40,61,12,19,0.88,81
23,38,10,12,0.75,92
24,43,11,15,0.79,94
27,60,11,13,0.71,91
28,60,11,15,0.76,102
37,61,14,15,0.91,96
40,70,13,15,0.96,106
37,66,14,14,0.97,105
13,24,11,10,0.80,87
16,32,14,15,0.82,85
20,38,16,18,0.89,96
25,41,14,14,0.83,89
26,46,15,17,0.76,87
32,51,13,14,0.75,110
33,56,15,17,0.77,117
36,58,16,23,0.83,114
43,57,11,17,0.88,86
23,27,8,8,0.78,111
11,17,11,10,0.83,99
21,36,12,11,0.82,81
36,53,11,13,0.75,96
38,55,14,16,0.75,95
29,42,14,15,0.76,85
36,51,16,15,0.79,84
44,66,14,16,0.86,65
26,44,13,12,0.65,53
14,31,12,13,0.61,54
18,34,12,10,0.64,79
32,47,11,11,0.75,119
29,41,10,12,0.71,73
29,42,12,13,0.72,106
45,59,11,20,0.86,111
43,53,8,17,0.88,88
24,32,9,11,0.79,95
18,29,15,16,0.94,75
38,60,14,14,0.96,98
48,65,14,14,0.84,107
34,47,16,13,0.74,87
26,37,15,15,0.73,65
11,18,8,11,0.76,40
19,29,11,12,0.86,54
33,55,12,13,0.77,74
26,39,11,11,0.62,54
22,37,10,9,0.67,56
31,45,13,9,0.69,65
