PM2.5,PM10,So2,No2,Co,O3
85,193,14,61,1.34,50
185,302,14,68,2.01,14
73,115,7,30,1.08,24
64,107,7,26,0.93,41
84,106,6,29,1.00,47
113,135,8,29,1.12,92
126,155,9,40,1.37,55
59,88,9,35,1.07,75
36,65,8,39,1.22,59
44,83,10,43,1.25,53
57,104,11,43,1.11,53
86,146,14,61,1.27,33
97,151,10,58,1.67,28
61,104,19,47,1.19,51
111,176,14,69,1.64,20
165,216,12,55,1.85,30
109,155,8,35,1.18,57
144,222,7,45,1.54,29
160,242,11,54,1.78,41
100,159,10,51,1.47,45
80,115,9,56,1.55,18
114,179,7,45,1.53,40
129,202,5,37,1.20,31
70,102,7,33,0.81,31
55,144,8,24,0.73,71
57,82,13,24,0.84,88
54,81,6,23,0.71,80
105,127,6,28,1.05,75
98,125,9,37,1.22,80
71,104,14,48,1.25,80
67,116,16,46,1.18,73
64,112,14,51,1.34,55
62,127,15,42,1.13,53
43,116,12,41,1.03,42
55,117,14,44,1.20,43
58,101,12,40,1.26,54
56,101,12,39,1.10,67
77,140,15,55,1.41,58
74,139,16,48,1.20,62
85,142,15,56,1.48,58
134,295,19,48,1.57,50
85,225,11,35,1.20,64
34,95,9,29,0.95,62
72,158,15,26,1.05,119
84,148,14,30,1.32,90
72,116,9,19,1.07,63
94,142,14,19,1.04,71
83,113,7,17,1.14,36
107,145,8,20,1.18,59
56,74,7,15,0.79,49
41,54,6,16,0.78,56
128,169,6,23,1.52,44
66,101,7,19,1.21,65
62,87,9,16,0.85,99
55,165,11,35,0.94,54
66,128,13,28,0.86,63
82,128,11,27,0.97,102
56,88,10,41,0.97,50
91,118,7,22,1.00,80
84,114,8,26,0.92,57
70,103,7,25,0.92,36
62,87,8,21,1.25,44
56,79,8,29,1.31,20
38,70,7,12,0.59,76
39,64,7,17,0.59,71
52,66,6,18,0.76,56
61,80,8,27,0.95,40
52,87,8,24,0.84,73
48,86,14,23,0.83,123
40,84,11,41,0.95,79
48,82,15,25,0.80,115
50,79,14,21,0.79,137
63,91,13,25,0.96,83
64,119,10,20,0.82,64
35,69,10,16,0.55,75
51,81,9,23,0.67,60
74,91,7,30,0.95,48
100,119,7,30,1.03,53
66,92,10,26,0.87,87
36,71,13,37,0.81,59
47,77,11,24,0.75,98
49,97,12,23,0.84,114
60,139,16,39,1.00,100
63,113,11,27,0.89,90
48,82,10,20,0.70,114
38,60,13,12,0.68,136
39,70,21,15,0.72,153
69,151,16,35,1.02,100
93,170,14,23,0.88,108
85,145,12,31,0.88,120
79,131,14,21,0.96,138
59,94,15,15,0.81,138
61,151,15,17,0.83,114
42,161,14,18,0.58,59
42,57,9,21,0.78,36
42,57,9,21,0.78,36
39,143,11,19,0.60,70
27,119,13,17,0.47,93
32,114,15,11,0.48,131
37,101,17,14,0.55,132
47,106,17,17,0.68,154
73,152,12,34,0.96,97
54,126,10,19,0.69,69
35,48,6,18,0.65,65
53,232,9,22,0.75,66
57,389,9,24,0.70,69
51,282,8,24,0.64,91
48,233,10,18,0.65,128
45,152,10,20,0.73,149
44,110,11,19,0.72,158
43,98,12,14,0.71,168
44,71,7,14,0.82,80
43,65,4,23,0.77,38
59,84,4,20,0.80,50
64,93,6,18,0.76,95
77,117,9,33,1.02,94
55,81,4,20,0.81,93
41,73,6,20,0.73,119
49,82,6,23,0.91,118
48,78,6,17,0.93,126
44,71,4,14,0.85,113
67,123,8,25,0.98,114
66,136,8,17,0.78,123
27,69,5,19,0.46,106
34,71,8,21,0.62,120
29,50,4,19,0.77,52
32,43,4,13,0.77,79
33,52,5,15,0.51,127
39,79,7,33,0.70,83
42,87,8,25,0.67,124
35,73,7,23,0.59,133
41,65,4,20,0.77,98
30,51,4,15,0.70,91
32,62,6,11,0.62,127
31,63,7,14,0.77,122
27,53,6,10,0.51,109
26,57,6,8,0.46,104
27,57,7,12,0.47,110
46,78,4,12,0.60,79
34,63,4,13,0.55,64
22,41,3,11,0.45,52
13,22,3,12,0.37,43
37,113,4,16,0.46,54
46,155,5,16,0.44,87
44,111,5,15,0.80,107
40,72,4,25,0.87,37
43,103,4,12,0.75,84
60,201,7,16,0.47,101
35,116,5,14,0.45,93
37,114,7,16,0.54,85
42,106,8,21,0.78,92
34,60,5,12,0.60,124
33,59,5,18,0.62,113
29,50,5,16,0.56,112
28,54,5,16,0.53,123
28,53,6,14,0.55,114
40,65,7,10,0.58,137
40,61,5,10,0.59,152
40,63,6,13,0.66,166
24,46,5,14,0.57,114
36,61,6,16,0.78,103
29,48,5,15,0.67,122
31,53,7,13,0.65,142
24,44,8,10,0.46,162
29,50,7,11,0.55,151
34,55,7,15,0.66,150
31,59,6,16,0.57,163
34,67,7,17,0.58,166
53,95,8,24,0.77,143
53,82,6,21,0.62,121
27,35,4,12,0.53,116
31,45,4,11,0.46,118
38,61,5,21,0.60,92
41,58,5,23,0.61,80
28,46,6,16,0.49,100
27,45,6,16,0.60,86
20,37,5,9,0.46,86
19,34,8,8,0.39,99
18,33,6,7,0.38,90
20,34,6,12,0.42,89
25,48,7,18,0.58,106
39,67,6,22,0.66,87
49,72,6,19,0.66,116
57,92,6,19,0.62,108
45,69,5,15,0.51,109
41,70,5,22,0.57,62
37,52,5,15,0.78,84
34,45,4,15,0.52,56
20,31,4,12,0.36,44
30,47,5,15,0.43,41
18,25,4,14,0.43,28
24,45,4,16,0.61,33
39,78,4,13,0.63,72
