PM2.5,PM10,So2,No2,Co,O3
96,121,12,60,1.18,55
83,109,7,63,1.11,63
38,59,9,59,0.74,46
25,44,9,45,0.59,42
37,67,13,64,1.07,6
37,46,8,43,1.36,2
20,15,5,38,0.91,8
16,20,5,39,1.26,4
35,45,8,32,1.14,35
33,48,15,46,0.68,36
28,47,17,46,0.54,48
26,46,16,46,0.53,46
34,55,10,53,0.59,41
46,69,9,53,0.70,71
57,80,9,67,0.91,52
62,79,12,72,1.12,51
107,124,18,93,1.46,62
73,90,11,85,1.00,77
98,115,16,96,1.20,20
52,66,9,59,0.97,25
48,58,11,39,0.83,60
107,127,13,65,1.41,58
92,114,18,84,1.45,27
43,57,12,47,0.87,57
30,45,10,40,0.68,45
33,55,10,43,0.83,20
43,66,13,52,0.85,17
45,64,12,49,1.02,4
16,20,5,29,0.85,19
34,36,6,38,0.93,13
21,21,5,34,0.94,18
50,65,12,42,0.67,55
53,63,10,36,0.52,52
45,63,13,41,0.42,61
51,70,13,34,0.43,66
36,50,10,33,0.44,56
45,58,13,55,0.62,49
59,73,14,74,0.70,23
49,59,10,51,0.52,47
55,67,8,53,0.58,37
77,88,9,53,0.75,41
63,74,8,28,0.65,77
51,65,8,25,0.64,86
43,70,8,34,0.66,66
31,55,6,24,0.54,69
34,56,6,19,0.59,61
65,82,11,20,0.72,56
48,55,6,19,0.66,50
29,38,6,18,0.62,61
32,40,6,19,0.64,47
24,29,6,17,0.66,40
25,33,6,23,0.66,27
8,10,5,16,0.87,20
17,21,6,23,0.85,22
37,39,8,40,0.98,28
40,45,7,45,1.07,16
17,25,8,28,0.74,38
21,29,8,27,0.62,56
33,46,8,31,0.80,68
28,42,7,22,0.82,51
31,38,8,22,0.76,60
24,36,5,15,0.72,46
18,26,5,7,0.60,33
19,26,6,13,0.60,26
22,36,11,32,0.61,32
18,33,11,33,0.56,57
9,12,6,27,0.73,23
19,39,12,32,0.63,71
32,48,7,34,0.67,82
23,37,8,30,0.54,71
24,38,9,30,0.59,58
24,38,8,27,0.62,56
25,33,8,29,0.58,48
35,50,9,51,0.84,31
35,50,6,31,0.71,56
26,38,8,28,0.58,67
23,37,9,24,0.54,70
24,38,6,18,0.60,52
12,23,7,22,0.78,63
16,34,10,28,0.74,77
33,52,15,45,0.60,73
36,64,11,37,0.60,82
39,63,9,35,0.57,79
32,60,13,44,0.56,61
44,72,11,46,0.70,76
55,75,17,49,0.86,80
46,64,8,24,0.71,97
34,48,8,24,0.63,68
32,50,9,28,0.63,82
17,33,10,25,0.43,78
27,47,9,18,0.56,91
34,57,10,16,0.61,111
31,53,8,14,0.63,80
23,45,7,17,0.55,52
19,35,7,11,0.50,49
19,35,7,11,0.50,49
16,38,9,20,0.65,33
26,108,13,28,0.56,67
43,106,17,38,0.63,80
44,81,9,25,0.68,83
26,47,7,14,0.61,78
25,43,8,23,0.63,39
20,36,7,10,0.55,38
19,23,6,9,0.52,32
14,22,7,12,0.54,31
13,26,9,30,0.76,25
27,42,12,44,0.74,22
42,78,14,43,0.76,64
43,67,9,41,0.85,63
35,62,13,39,0.77,71
29,52,11,30,0.64,67
24,43,8,15,0.54,64
24,38,7,11,0.53,51
16,27,6,10,0.55,45
20,34,8,36,0.83,17
29,51,14,45,0.95,38
45,60,6,54,0.99,20
49,66,8,48,1.01,60
39,54,9,37,0.98,57
29,42,6,11,0.67,69
28,39,6,10,0.63,48
18,28,5,6,0.58,37
18,29,7,9,0.54,45
30,47,11,27,0.68,100
16,29,10,25,0.66,93
18,34,6,8,0.50,78
16,27,6,5,0.48,46
11,19,6,4,0.47,50
18,32,7,28,0.72,56
22,33,7,30,0.80,49
16,35,9,20,0.65,78
20,35,7,14,0.66,62
23,35,6,11,0.69,50
16,26,6,11,0.65,56
14,26,7,10,0.58,50
12,26,6,6,0.55,53
11,20,4,7,0.49,46
13,23,5,6,0.55,44
16,27,6,7,0.56,55
15,25,6,8,0.58,49
13,23,6,8,0.56,49
12,21,5,7,0.54,52
